https://item.jd.com/100045271540.html,"['卡萨帝CAS3512FCA(81)U1', '100045271540', '15.5kg', '中国大陆', '键控/遥控，APP操控', '一级能效', '变频', '抗菌，除菌', '壁挂式', '冷暖', '1.5匹', '自清洁']"
用户名,评分,评论
s***1,star5,高端，大气，上档次，性能强劲，制冷效果好，还可以远程遥控非常方便，双十一准备再买一台，信赖国产品牌卡萨帝。
c***n,star5,相信卡萨帝的品质，到货后安装完毕也很满意，金色的外观非常显格调。整个购买过程体验非常好，要特别谢谢【客服诗语】很耐心的反馈和解释，会和朋友推荐卡萨帝，很棒！到目前的使用情况，感觉制冷效果非常好，很快房间就冷下来了，而且冷的比较均匀，声音也非常轻，静音效果不错。另外，吹出的风比较柔和，不会很局部。整体外观工艺质感很好，很显示沉稳有档次。
风***e,star5,外观还是不错的，很漂亮，开机后声音也不大，制冷效果还不错，制热还没有试～用一段时间再追评～总体还是很满意的
f***y,star5,安装位置比较难搞，师傅辛苦了半天终于搞定，感谢。安装好以后打开使用，新空调果然给力，制冷快，并且非常静音，不仔细听都听不到，另外颜值也在线。后续再分享使用感受。
i***2,star5,非常好。空调质量很好，外观也好看。运行起来没什么声音，非常满意。送货师傅和安装师傅也很好，提前约时间，按时上门，也特别注意保持屋里卫生，不磕碰。棒棒的
不***兵,star5,外形外观：很喜欢的颜值担当，一下子买了全套。冷暖效果：没的说，静音效果：就是看中这点了，静音无噪音。柔风效果：软风很喜欢服务质量：很好，送货快，安装快，赞一个
鐵***人,star5,原来房间的空调时间久了，就想换一台，因为家里有宝宝，一直不知道选什么好，咨询了行业内的朋友，根据我的需求和预算推荐了这款。这款挂机是冷热风混合技术，适合大房间，制冷效果很好，冷风也不硬，最主要的声音真的很轻，不会影响休息，还带有除菌功能。真的很棒。卡萨帝的安装服务也很到位，安装完成后，师傅还帮忙打扫卫生。卡萨帝棒棒的。
薅***3,star5,第一次购买并使用卡萨帝产品，惊喜连连，非常满意，以后家里采购电器一定会优先考虑卡萨帝。前些天家里有台空调坏了，外国品牌只有3年保修，花大价钱修理不划算，遂决定换新。在选购的过程中一眼就相中了卡萨帝，并且有10年保修，趁活动赶紧下单，然后奇迹出现了，第一次碰到空调安装师傅催着要来给我们安装空调！！！这服务太周到了！师傅技术过硬，安装非常专业，点个大大的赞！空调使用下来效果非常好，各方面都符合预期甚至超过预期！大力推荐大家购买，大家放心购买，赞赞赞！
l***2,star5,外形外观：家里一口气买了一个系列的星云，第一眼就看中了颜值冷暖效果：没的说，这是空调最基本的吧静音效果：静音软风，环保无噪声。柔风效果：就是看中了这点，适合老人孩子。安装时效：次日安装，师傅真的很负责。总之很喜欢，正是那句话：终于颜值，始于效果，猛赞一个！！
l***2,star5,外形外观：给孩子房间专门买的这款母婴空调，很好看静音效果：声音很轻，效果很好，环保无噪音节能效果：必须得一级能效。服务质量：当日送到，次日安装，安装的师傅真的很负责。总之很喜欢，正是那句话：终于颜值，始于效果，猛赞一个！！
h***o,star5,从以旧换新到安装完成一共三天时间第一天来回收 第二天配送到 第三天安装完如果配送快 还有可能第二天就安装好安装师傅服务超级好，我们装的地方比较难，最后也搞定了。给安装师傅点赞?
d***g,star5,很满意的一次购物，空调很好用，有不同档位带清洁功能，制冷也很快，风向不对着人直吹。最关键上门安装的师傅很客气，动作也很快，安装好了马上就用起来了。
爱***儿,star5,卡萨帝空调确实不错，制冷快，又静音舒适得很。安装很简单，距离后续用着怎么样后续我在给大家做评价颜值也不错
j***m,star5,这款卡萨帝空调真绝绝子，不仅颜值给力，还非常智能，大热天用起来，体验感非常好，而且有语音控制，小朋友也能轻松开关机，还不用担心遥控器找不着的尴尬。真的强推！
中***L,star5,卡萨帝的空调真的是和其他的不一样，外机的颜色很惊艳，性能不用说，海尔的高端品牌，值得信赖。全屋都是卡萨帝
4***1,star5,很高大上的感觉，颜色超好看，每个细节都做的很好，很开心我能拥有，家里用刚好，品质有保障，质量和服务都很满意，功能也能满足日常需求，收藏店铺LE，店铺活动很多常常关注，颜色正，外观设计感强，手感不错！，收到一段时间了，大小合适，我和老公都很爱，放心用就行，关注这款产品一段时间了，也变得精致了起来，说明书内容详细易懂，外观很棒
无***寞,star5,卡萨帝的品质非常好，值得信赖！家里所有家电全是卡萨帝的！再购一个最新款空调！客服介绍详细！配送员工作认真！安装人员工作专业！
孤***者,star5,第一次过来有点问题客服很愉快就解决了，安装效果太棒了，在也不用担心直吹退了，特别好用，空调还是一样的凉快，最满意的一次购物了，下次一定光顾
嗨***8,star3,冷暖效果：同一时间购买了三个不同牌子的空调，同一天安装，同一个温度，明显的，格力和美的风吹出来是比较冷的，而这个风不太冷，比如调24度，另外两台可能15分钟可以了，这个要半小时，至于服务，这个我相信是会不错的，因为一年免费清洗两次，其他暂时不知道
6***6,star5,很好用，送货师傅送的很及时好评，心仪很久终于下手了，安装师傅也非常的好，买来了送给家里的亲戚，亲戚特别开心，这款产品的外观设计非常好看，说明讲解详细，明明白白，客服非常耐心，有三个档位，一般第一档就够用了，非常好，老人很喜欢，新家的第一件电器非常的满意，家里现在都还这个牌子的，宝贝收到了！物流很给力，包装很精致，空间非常大，操作方便，功能可以，材质细腻，早一点看见这家店就好了
战***兜,star5,这款空调外观十分美观，制冷效果特别快，静音效果极佳，并且十分节能，送货特别快，货到直接第二天安装师傅联系安装，特别效率。
胡***君,star5,按照约定时间及时送货，两位师傅辛苦了！外面40多度的高温真的很不容易！京东物流一直很好，尤其是购买这种大件商品，好评！！
宇***劲,star5,去年装了4台海尔空调机，产品及服务都很好，非常满意，值得拥有，现在再装一台带新风的海尔和一台海尔的高端品牌卡萨帝，都变成海尔粉了。
j***6,star5,空调一如既往的好，之前买过同款。这回北屋我又买一个，安装师傅干活非常细致，售后思月服务态度非常好。好评！
j***C,star4,6.18号在直播间下单，然后显示7.2送达7.3安装，觉得太慢太晚了，还好后期又自动更改成6.25送6.26装提前了一点点，然后师傅来安装前后跟我都有电话确认，很有职业操守，是买给父母的，一直以来都觉得卡萨帝是高端品牌送父母应该是可以的，外观也跟时尚简约，主要是父母不太爱吹老式直吹空调，这种下载手机软件回家前先打开降温到家把空调关了，这样的方便舒服，也不担心出门忘关空调了
q***4,star5,外形外观：深紫色，形状圆润，颜色高大上。冷暖效果：制冷很好，静音效果：非常静音，几乎听不到噪音，不开静音模式都没啥噪音
j***y,star5,安装完成，虽然安的不是我想的理想位置，不愿师傅，是家里装修的各种原因，也还好吧。师傅辛苦啦，最起码天热不遭罪了，空调是我喜欢的颜色，高端大气上档次
济***顾,star5,总体满意。第一，客服都很好，有问必答，有耐心，头脑灵活，不嫌麻烦，善解人意，尤其是售后思月这位客服，很贴心，能为顾客着想。第二，安装师傅专业，客气，手艺好，没法钻眼拧螺丝，特意走了几百米外买的铁丝。第三，物流不太行，具体看物流评价。
崔***友,star5,外观特别美丽，送货也很快，安装师傅也巨好，安装服务好，速度快，专业性强，总体来说非常满意，特别的值，喜欢，制冷效果也特别好！还能链接海尔app，特别方便，喜欢！
y***5,star5,售后思月等几位服务非常棒为消费者着想，值得表扬。下单后马上有客服电话联系，送货上门、安装一条龙服务，安装师傅服务规范热情贴心、技术专业。空调外观漂亮，空调制冷效果快，静音好，室外机工作噪音不大。
s***6,star5,外形外观：外表香槟金，比紫色的更适合家里配色冷暖效果：刚装修完还没用呢节能效果：一级节能送货时效：送货快，京东师傅打电话确认这一点特别好安装时效：预约卡萨帝安装师傅，很耐心的帮我穿管，服务态度特别好，这一点给大大的?服务质量：服务质量不错，一直都用卡萨帝的空调，选他家有理由的
j***N,star5,机子非常漂亮，外机也好看，打开试了一下，制冷非常好，声音也很小。静音效果：好冷暖效果：制冷非常好
m***9,star5,前阵子买的卡萨帝的洗衣机，觉得用着不错，换空调的时候就想还选这个牌子。看了很多款，选中这个，有一些自己需要的功能，安装师傅也很好，装上很漂亮！
x***1,star5,非常喜欢这款机型的颜色，另外正好有活动，就果断下手了，希望一切皆如所愿，不要让人失望……
弋***鳶,star5,外观设计简约大气直接拉高房间的设计，功能也非常强大，支持多种模式，调节室内温度的速度很快，而且风速很柔和还有防直吹，和分区功能。静音效果也很不错，睡眠模式下，几乎听不到工作的声音。总体很满意。
W***x,star5,因为是需要远程调货的空调还是等了几天才送到，收到货发现还是物超所值的，白色的外观很好看比较百搭。安装师傅也比较负责，隔日一大早就来安装。家里电器几乎都是卡萨帝的使用还是比较省心的，希望空调的后续使用一样可以顺利。
l***f,star5,空调如预期的一样很棒！昨晚下单，今天中午11点送到货，下午1点就上门安装了，整个流程很顺畅，高效快捷，安装师傅也很专业，效率高。
S***_,star5,外形外观：高大上，金属质感很好，很棒冷暖效果：冷却快，很舒服静音效果：静音效果很棒，不吵产品特色：整体很满意，贵的东西果然除了贵没啥不好的节能效果：节能很好，一级能效很满意柔风效果：很好很舒服送货时效：隔得有点久安装时效：安装师傅很快联系服务质量：还好
简***j,star5,表扬思月客服~因为618活动太多，所以当地原来派件和安装师傅起了时间上的冲突，好在客服在途中也努力沟通协商了，空调使用开静音模式下确实无声，普通模式下还是有轻微的运行声音，颜值很高，制冷效果很理想~
j***8,star1,送来的空调箱子破损 塑料袋破损 空调暴露外边
u***h,star5,外形外观：简约时尚风格冷暖效果：制冷效果很好静音效果：几乎无噪音安装时效：当日到货当日安装效率高服务质量：安装师傅态度极好专业
