https://item.jd.com/100026792318.html,"['海尔EYW131286BKDU1', '100026792318', '49.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '二级水效', '洗果蔬海鲜']"
用户名,评分,评论
水***1,star5,"做了很久的功课，铁心购买洗碗机，看到海尔新品就毫不犹如入手了，京东送货非常省心，整部机子看得出用的材料真不错，13套的容量，我们家4口人的餐具加炒锅，还剩很多空间,使用方法简单，脏餐具用水简单冲洗一下表面，清油污碗碟放上层，重油污碗碟、锅放下层，按要求放好三件套，关门选择洗涤模式。理想是洗完结束后大概3个小时打开洗碗机的清洗效果满意，操作简单，可以说解放了双手，省出了很多时间,容量挺大的，我可以再继续买多点漂亮的碗具回来了，相比我以前用的，这个碗篮的设计我觉得比较人性化，可以升降可以调节，放碗具没有那么局限性，可以随意调整。还有就是这款确实如客服说的很静音，总体来说很满意，后续再使用看看，把一天的碗都放着晚上洗，再也不用每次吃完饭在厨房呆一个小时洗碗了，本来还以为洗不干净，没想到那么干净，还带烘干，而且很方便，每次放一点洗碗粉就行了，还能高温杀菌，等娃娃出生烫个奶瓶啥的太方便，我老公一直嫌洗杯子洗不干净，这会开心的不得了，玻璃杯一点水印都没有，推荐哦，家里带娃的太适合！总而言之，这一款洗碗机很实用！确实很省心的一次购物，比实习店购买体验感还要好！提升家庭幸福感的神器啊，哈哈哈哈。"
j***t,star5,"洗碗确实是一件非常累人又不讨好的事情，之前用过其他牌子洗碗机，性能一般，犹豫好久，最后决定还是买一台海尔新品试试看,本来想等618优惠再买的，但是真的不想再亲自洗碗了！用过洗碗机的感觉太太太太太香了！！！对比之前用过的洗碗机来看，海尔的真是太太太太太强了！洗的真的超级干净！洗完还能烘干，烘干之后碗都是暖的，几乎没有异味，也没啥水渍！清洗效果很满意~说真的，含有这些黑科技的功能，还有一堆赠品，真的很超值，可以说国货之光了！如果家里每天因为吃完饭谁洗碗烦恼的，必入洗碗机啊，解决家庭矛盾神器！再用一段时间看看，打算给老妈和丈母娘家里都买一台！嗯嗯嗯~，洗碗机还有保管功能，碗放在里面一直都是干爽洁净的，强迫症患者表示很舒服，噪音基本可以忽略不计，宝宝奶嘴奶瓶洗的比我老公干净多了！感触最深的的就是洗碗不累了，哈哈，为了有更好的清洁效果，还是需要花一定的时间去清理残渣，然后研究摆盘，但是真的不累了，而且洗碗效果也非常不错。不能机洗的餐具，手洗以后可以放进去一起烘干，毕竟容量大，随便摆，拿出来都是干爽的，用起来舒服！反正强烈推荐！之前网上看到什么洗不干净等问题暂时没遇到，反正好用极了！国货之光产品！"
墨***溟,star5,外形外观：外观方正大气，黑色显质感，典雅深邃。玻璃面板摸上去很光滑，手感很好。清洁能力：清洁能力很好，碗筷刷的都很干净，自动开门烘干比较省电，内有三层喷淋臂，支持分层洗，智能洗、快去洗等程序，功能非常丰富且实用。售后服务：售后服务好，安装师傅很负责，态度很好，工作迅速，没有乱收费。物流速度：物流速度快，支持延迟发货，我这是延迟了两个月发的货。噪音程度：有一定噪音，但在可接受范围内，关上厨房门就听不到了。洗涤容量：13套中式大容量，锅碗瓢盆都可以洗，满足绝大多数家庭需求。
再***网,star5,"完美的机器，解放了一个最头疼的家务，哈哈。机器科学智能，烘干效果好，洗碗也洗得干净，反正比自己洗干净很多。外形外观：大气美观，家里的橱柜特意根据这款洗碗机预留的位置，刚刚好，只是洗碗机安装师傅说需要后仰倾斜，所以底部稍微凸出来一点点，但是也不影响整体效果。售后服务：售后耐心解答，预约方便，安装师傅很负责。物流速度：京东物流快。总之非常满意做了很久的功课，铁心购买洗碗机，看到海尔新品就毫不犹如入手了，京东送货非常省心，整部机子看得出用的材料真不错，13套的容量，我们家4口人的餐具加炒锅，还剩很多,使用方法简单，脏餐具用水简单冲洗一下表面，清油污碗碟放上层，重油污碗碟、锅放下层，按要求放好三件套，关门选择洗涤模式。理想是洗完结束后大概3个小时打开洗碗机的清洗效果满意，操作简单，可以说解放了双手，省出了很多时间,容量挺大的，我可以再继续买多点漂亮的碗具回来了，相比我以前用的，这个碗篮的设计我觉得比较人性化，可以升降可以调节，放碗具没有那么局限性，可以随意调整。还有就是这款实如客服说的很静音，总体来说很满意，后续再使用看看，把一天的碗都放着晚上洗，再也不用每次吃完饭在厨房呆一个小时洗碗了。"
寓***好,star5,这款洗碗机真的很好用，我大概半年前刚刚上市的时候就买了一台，京东618又买一台同样型号的洗碗机给妈妈家安装了，用洗碗机洗碗真的很干净，也省时间。
w***e,star5,感谢洗碗机解放了我的双手和生活！！家里人一直反对买洗碗机，说洗不干净，我觉得总得试试，余生每天都要洗碗真是了无生趣。用了以后感觉比手洗干净，只用定时清洁过滤网就可以了，放进去之前大点的**用厨房纸巾刷在垃圾桶，放碗放锅放清洁剂，开机，然后就可以了。
a***_,star5,师傅上门安装态度好，速度也很快，机器容量也很大，看着不错
大***杯,star5,现在洗碗机就和洗衣机一样，几乎都是家家标配了，我们也不例外，必须安排一个，太好用了，现在洗碗轻松多了，而且洗出来碗也特别干净，洗完自动开盖，新款洗碗机功能也越来越强大了
s***l,star5,外形外观大气 是我喜欢的样子 售后服务很周到 热心讲解
