https://item.jd.com/100050504907.html,"['海尔BCD-535WGHSSEDS9', '100050504907', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', 'PCM彩涂板', '风冷', '90.1-95cm', '500-549L', '银灰系', '对开门', '独立式', '电脑控温', '60.1-65cm']"
用户名,评分,评论
j***z,star5,外形外观：大气，好看，颜值高，和家里装修风格却好搭啊，很喜欢制冷效果：还没用，以后追评保鲜效果：还没用，以后追评容量大小：看看都觉得大，要冻好多东西哦，这个夏天用着爽歪歪，蔬菜水果，冰淇淋，面包，啤酒，各种零食，真的在家不愁吃的了。
刘***儿,star5,外形外观：小巧精致，简单大方 颜值在线制冷效果：制冷效果不错，制冷快保鲜效果：保鲜效果好，水果蔬菜放保鲜室拿出来都很新鲜容量大小：冷冻室比冷藏室大一点，完全够用啦
j***a,star5,外形外观：金色外观，很大气，颜值是不错的，回购的第二个冰箱了。制冷效果：制冷可以，制冷速度很快。保鲜效果：食物保鲜很好，放了冰箱食物还是很新鲜。容量大小：容量大。
2***8,star5,功能强大，细节完美，合作愉快，各个细节做的都很好，非常喜欢这个牌子，和预想的样子一样，很满意，是我想要的类型，这么热的天，安装师傅没有任何一句怨言，没有一点瑕疵，外包装很严实，款式漂亮，价钱实惠，棒棒哒~包装非常结实，很给力，非常不错的店，8966545，很方便，已经买啦，送货迅速，超级心意满满了，看着很顺眼，质量和颜值杠杠滴
5***8,star5,很秀气大方，很好，极力推荐，价格不错，质量不错，非常漂亮，非常优雅，服务太好了，谢谢商家，和图片上一样，安装没有收多的费用，我真是太喜欢了很符合我的要求，非常好质量好，到货第二天就装好了，感觉是量身定制，质量很好，有质感，满意好评，大小颜色家人很是喜欢，已经加入购物车很久了，师傅很好，很热心肠
j***k,star5,对比了一圈下来，最终入手了海尔的这款风冷无霜冰箱。下单后第二天就送货上门了，保护的很好，放在厨房里大小刚刚合适。外观看起来很高大上，打开后里面也没有塑料的味道，都说风冷无霜的好，能保鲜，以前没用过，这次用了，确实温控更精准，蔬菜水果放两三天后既不会冻坏，还很新鲜，不愧是靠科技。非常喜欢的冰箱！
3***6,star5,东西收到了，发货速度很快，卖家客服耐心有礼貌，包装非常仔细、严实，收到货第一时间拆开包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，使用几天后，无霜、静音，空间足够大，满足了我家的所有需求。师傅送货上门，服务也到位，总的来说这次是很满意的一次购物，感谢卖家
j***d,star5,冰箱收到，已经使用很多天了外形外观：大方制冷效果：冷冻很强?保鲜效果：保鲜也很好！容量大小：太宽敞了，东西大件的也能放进去…太喜欢了…
云***开,star5,冰箱很好 空间很大很给力 双开门的也很方便 颜色也很正很漂亮 很早就看上这款冰箱 刚好6.18有活动就下单了 制冷效果也很好 很好用
天***丶,star5,这款冰箱非常出色！它的设计简约时尚，外观非常漂亮，非常适合现代家居。冰箱内部空间很大，可以轻松容纳大量的食物和饮料。冷藏功能非常强大，能够快速降温并保持食物的新鲜度和口感。冷冻功能也非常出色，能够迅速冷冻食物并保持其营养价值。此外，冰箱的噪音非常低，几乎听不到任何声音。操作简单，使用方便，节能环保。总体来说，这款冰箱性能卓越，品质可靠，是一款非常值得购买的家电产品。
