https://item.jd.com/4525129.html,"['京鲜生绿宝香瓜', '4525129', '0.8kg', '中国辽宁', '绿宝香瓜', '香瓜/甜瓜', '冷藏', '国产']"
用户名,评分,评论
j***p,star5,香甜可口，很好吃，一直都很喜欢吃香瓜，口感清甜香脆，水分很充足，宿舍里的同事们都爱吃，都说好吃?问我在哪里买的，推荐了链接给她们
j***b,star5,京鲜生绿宝甜瓜已经收到了，新鲜甜度好，好吃。自营店的，上午下单下午收货，方便快捷，送货上门，非常满意五星好评！
薛***耶,star5,包装很严实，收到货也没有破损。前一天晚上下单，第二天下午就收到了，水果很新鲜，一共四个羊角蜜，个头都不小，吃起来脆脆的，甜度一般，但是水分很大。
w***3,star5,质量非常好，甜度很高很高，新疆吊干杏每年都很等待这一集哈哈，京东倒是第一次买到吊干杏，一盒大一盒小，还可以吧，京东物流很快的满意
济***1,star5,京东做活动的时候买的一次性买了五六种水果物流很快都是第二天就到了水果也比较新鲜，家人反馈味道还不错，比超市买的要便宜，下次做活动的时候再买一点。
b***3,star5,京鲜生 羊角蜜甜瓜 1.5kg装 单果400g起 生鲜水果。头天下单第二天就收到了，快递速度真快，包装好，打开没有损坏的
云***涛,star5,京鲜生不愧京东自营，每次买的水果，品质一贯的好，希望继续保持。这次买的绿宝香瓜?，的确很好吃，夏天适宜，香甜可口，全家人喜爱。
j***y,star5,没拍照片，凑单买的，这款绿瓜很甜很好吃，个人觉得比羊角蜜好吃很多，瓜囊很甜，瓜本身也很甜，味道浓郁，就是不知道糖分高不高。
十***窟,star5,京东快递很快，第二天就送到了，物流超级给力～这个瓜在水果店里面买要十几块钱一根，看到京东超市里面正好做活动，还便宜点，就下单试试了，收到货还不错，有优惠的时候可以买点吃吃
z***m,star5,前几天在京鲜生自营买了两箱水蜜桃，给了一个大大的京喜，非常完美的桃子，所以立刻下单了羊角蜜瓜，里面有两个，自己称了一下，重量没问题，瓜也很新鲜，味道很甜，会一如既往的支持京东！！
虹***3,star5,京东生鲜物流很好，快递员派送速度也很快。水果收到没损坏，看上去很新鲜。。在京东自营的店铺下单，物流时效和物品的质量都有保障。
A***广,star5,京东物流送货快，包装严谨，瓜果品质好，超级甜，汁水多，是我喜欢的甜瓜，。价格划算。京东很多优惠，支持京东物流。送货上门！
y***1,star5,挺喜欢吃香瓜的，特别是冰了一下以后再使口感更好。这次在京东上买的这个绿宝香瓜，比我们以前吃的香瓜还要香，还要甜一些，口感很好，价格也不贵。
j***f,star5,这款甜瓜口感挺好的，软糯软糯的，甜的很。买了整箱，吃了只剩两个，这次没放冰箱，下次可以直接放冰箱，大夏天来一个，冰冰凉凉，肯定好吃。
