https://item.jd.com/8094996.html,"['京鲜生进口牛油果', '8094996', '0.7kg', '秘鲁', '进口', '常温', '秘鲁']"
用户名,评分,评论
u***2,star5,沉甸甸的很新鲜，每一个牛油果都是圆润又饱满颜值很高呀，皮薄肉厚而且很香。而且价格还那么便宜 ，买多了放冰箱里，想啥时候吃提前两天拿出来就好
刘***6,star5,买一送一简直不要太划算，吃轻食，减肥必备牛油果，放冰箱会熟得很慢，要吃前两天拿出来常温放置，过两天就完全变色，就可以享用了
c***4,star5,物流速度那是相当的快，而且买一送一，简直太划算了，家里人都很喜欢吃，而且家里小朋友从小就吃惯牛油果了，不得不说这次购物真的很划算
秋***7,star5,品质很好，很喜欢这个，而且一盒里面有成熟的有半熟的，商家很贴心，慢慢吃也不担心会熟坏了，包装很好！！物流很快！！减肥，和营养的神奇！！牛油果?还有紫甘蓝?买了之后可以来打奶昔，一杯加上一点坚果?，特别的完美，减肥的神器
j***5,star5,京鲜生秘鲁进口牛油果价格超级便宜，性价比极高，值得推荐，味道尚可，脂肪含量极高，种植过程极为消耗淡水，尝尝就好，谢谢！！！
s***s,star5,甜度很好 无坏果  味道很值得回味 方便 简单 安全 放心超级喜欢 想吃冰激棱和喝奶茶的时候 就用它来解馋 成年人的快乐可以尽情吃了 想想心情棒棒哒 健康快乐成长 每天都记得吃啦 发货超快 包装很好 满意度很高 值得选择 果断收藏店铺 这种价格 买到这么好的服务
黑***儿,star5,先说商品质量，质量上乘。而且个头比较大，颜色深，重量足够足称价格，价格正好趁着活动价，非常合适的价格，买到货。而且新鲜啊。知道嘛，这是当下比较热门的水果，也叫鳄梨?这个配合着酸奶，奶昔，加点芒果，打成奶昔一样的，味道非常棒！再说物流，配送的非常及时，而且有物流的信息一直能看到。非常好的购物体验。
u***2,star5,都快吃完了才想起来评价，价格便宜，果子大小均匀，刚收到的时候还是青的，放几天就熟了，拌沙拉，榨奶昔或者直接吃都很好吃，我喜欢直接吃，简单方便。
正***y,star5,很新鲜，饱满又大个，外形也好看，整整齐齐的，一共有两盒，迫不及待想要吃了，还没熟，慢慢等吧。后熟型水果就得有耐心等，期待中。
j***m,star5,产品非常好，新鲜，足份量，京东快递神速！每只都精心细选，回购回购！京东自营的，闭眼入就是，真心最好的！
