https://item.jd.com/3711635.html,"['京鲜生京鲜生 脐橙 5kg礼盒', '3711635', '5.75kg', '湖北', '夏橙', '国产', '常温', '湖北']"
用户名,评分,评论
j***o,star5,"快递快，清新爽口,回味无穷,果肉超级厚实爱心也不酸切开后散发出特有的香气,吃起来是香甜香甜的,外观看着一般,但果汁特别多,颗颗饱满汁水饱满"
定***头,star5,京东物流非常快，一天就可以到，而且还送货上门东西收到包装完好，现在日用品需要的东西都在京东上购买水果，还没有吃，但是卖像不错。
s***1,star5,这橙子也太好了，皮薄汁多。甜品也适合，不是太酸过，清甜，我是拿来榨果汁儿的，小孩子超级喜欢喝。吃完还会继续购买的，价格真的太实惠了。
喂***丫,star5,快递快，清新爽口，回味无穷，果肉超级厚实爱心也不酸切开后散发出特有的香气，吃起来是香甜香甜的，外观看着一般，但果汁特别多，颗颗饱满汁水饱满
j***i,star5,多次购买，确实好吃，信赖京东大品牌，推荐给朋友和家人好吃，水分大。这个季节能吃到这这个橙子真是不错了。甜甜的还会回购。好评，好评，好评，好。
S***风,star5,橙子还不错，刚买回来的时候不是很甜，放几天就甜了，汁水特别多，前两天温度超40度了，家里都30多度，没注意，坏了七八个，可惜了可惜了，用来榨汁喝也不错。
w***o,star5,昨天下午下的单，今天上午就送到家了！谢谢京东小哥，辛苦了！果子很新鲜，包装很好。切开以后颜色很好看（标准的橙色）汁水也蛮多的，尝了一口不是太甜有点酸，（V C多）但也能接受，也许放一放要好一些。
j***a,star5,昨天半夜下单的，今下午就到家了，京东???果子很新鲜，很饱满，汁水很多，酸酸甜甜的，这个季节能吃到这么好的橙子太棒了，吃完还来买???
g***m,star5,橙子收到了，先说物流吧。京东的物流速度非常给力，配送及时，送货上门，服务周到，橙子第一次购买，价格实惠，物超所值。比在线下实体店便宜很多。口感酸甜。适合居家食用。非常满意的购物体验，以后还会继续回购的。
一***9,star5,京东生鲜当季鲜脐橙，与图片一致，购买了两箱，每个脐橙都好新鲜，切开一个品尝，皮很薄，橙汁特别充沛丰富，又甜又酸，而且果肉细腻，好吃美味！
W***Y,star5,当初买水果的时候一下子买了好几箱，也买了好几个种类的橘子。果子的大小还不错，品质也很好。吃起来很不错，没有酸的感觉，而且京东配送还很快，还没有坏果子。
x***8,star5,一如既往的新鲜夏橙  好吃又鲜美，不酸，  水分足，炎炎夏日吃起来非常的舒爽。京东购物方便快捷，值得购买。继续回购。感谢京东  值得信赖。
经***3,star5,这款鲜橙个头均匀，皮薄馅大，鲜嫩多汁，酸甜可口，包装精美，没有坏果。到手后榨了2杯橙汁，味道非常的纯正，香气清爽扑鼻，口感非常棒，5星好评，强力推荐！
2***m,star5,这种橙子个子很大，包装也特别好，有泡沫纸包着，到手还是挺新鲜的，冷链包装，超级棒，入口水多，酸酸甜甜的，不错的感受，物流快
j***8,star5,还不错，家里人喜欢，老公喜欢吃脐橙，就在京东上找了这家，买的人很多，评也不错，就想买来试试，收到后，马上吃了一个，味道不错，很甜，会回购
a***n,star5,一直以来都是京东商城网购家中所需的声鲜食品。京东商城网购品质保证，很对京东自营的商品都有三十天价格保护，所以购物无忧。京东值得信任和放心。
H***r,star5,橙子味道鲜美，个头大，价格适中，每个都很新鲜，含水量大，榨果汁特别好，给孩子榨了果汁，也不会喊着去喝外面的饮料了，以后还会再来
l***3,star5,用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！上次买到这么好用的东西还是上次！非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
n***1,star3,皮厚味酸，我觉得可以泡茶
j***M,star5,湖北秭归夏橙包装严实，打开箱有一股夏橙水果的味儿，果子表皮光滑，很新鲜，没有坏果，分量足，个头大小均匀，汁水多，酸甜适中，口感很好。
小***孖,star5,这果也太好了吧。皮薄汁多。甜品也适合，不是太酸，清甜，我是拿来做果汁的，小孩子超级喜欢喝。一下子都喝去半箱了。吃完继续购买，真的太实惠了。
u***i,star5,物流快，包装完好，快递小哥服务好，送到家，这款橙子一直都是在京东自营店购买，挺好的，个头比较小，但大小均匀，有少量籽，很少，比较甜，带一点酸，很爽快，还会继续回购
