https://item.jd.com/4746476.html,"['京鲜生进口红玫瑰苹果', '4746476', '2.1kg', '新西兰', '皇后', '75mm-79mm', '控温', '进口']"
用户名,评分,评论
j***m,star5,这款苹果很贵，但是味道很好，贵有贵的道理，吃起来是粉的，不是那种脆的苹果。妈妈很喜欢，不会很大个，太大个一下吃不完，大小刚好，继续回购
y***m,star5,包装很好，送货快收到时还能感觉到冷藏的凉气。口感不错，脆甜。现在不是吃苹果的季节，国产苹果没有成熟，进口苹果太贵。孩子要吃苹果也没辙。
浮***5,star5,京鲜生新西兰皇家姬娜小苹果，纯净新西兰，苹生新境界，一天一个苹果，吃出水润活力。酥嫩多汁甜蜜层层递进，轻咬瞬间伴随咔嚓声，甜汁迸发而出，从舌尖甜到心头。这款苹果甜嫩多汁，香脆可口非常好吃。京东物流非常快，值得购买哟！
浮***5,star5,京鲜生新西兰皇家姬娜苹果六粒装，轻咬入口一刻有丝丝脆嫩，咀嚼时又绵密细腻，香甜汁水充盈，漫溢唇齿之间。果香浓郁隔很远就能闻到一股独特的苹果香味，咬开时味道浓郁香甜。京东物流非常快，值得购买哟！
G***7,star5,这个新西兰苹果真的很好吃，水分也很足，而且很新鲜，价格实惠装，12个一盒，百姓喜欢，京东自营商品送货速度很快的。一次愉快的购物体验噢！
汉***下,star5,产品非常好，性价比很不错，爱了爱了，商家店铺服务也很好，下次还会继续复购，不错不错。希望商家继续保持，日后大卖大卖，太好了！
爱***1,star5,苹果是买给孩子的，京东自营的品质还是让人放心的，京东快递也是很方便，送货很及时，买的生鲜水果，基本头天下单，第二天就收到。
人***梅,star5,无限次回购的产品，质量很不错。家里老人小哥哥都喜欢吃，放在冰箱里，妥妥滴可以吃上半个月。每天吃水果，都有好心情。脆，甜，鲜，水份足！
q***2,star5,谢谢京东，京鲜生 新西兰皇后红玫瑰苹果4粒尝鲜装 单果130-170g 生鲜 新鲜水果很快收到了，包装严谨 冷藏到位，很是新鲜，给赞。
j***n,star5,长期回购的新西兰萍果，非常好，京东值得信赖。长期回购的新西兰萍果，长期回购的新西兰萍果，非常好，京东值得信赖。长期回购的新西兰萍果，非常好，京东值得信赖。非常好，京东值得信赖。
安***弟,star5,终于收到货了，非常非常喜欢，跟描述的是一样的，送人很显高档，物美价廉，要买的朋友可以下单噢，以后还会继续在京东购物！味道鲜美
2***7,star5,苹果很新鲜，很漂亮，个头均匀，不喜欢吃酸，没敢多买，等吃了觉得好吃，再买多点的，京东物流很方便，送货上门。价格小贵，其它还好
浅***水,star5,京东购买很方便，提前下单，第二天就收到了这个苹果，这一次的个头还是挺大的，然后嗯这种苹果它的苹果味儿很浓烈，脆脆的，甜甜的，可以直接洗了，直接啃。
人***梅,star5,无数次回购的产品，口感好得很哦，包装也杠杠滴，一个都没有坏，个头很均匀，一次吃一个刚刚好，满足营养需要，这个真的是爱了爱了。
j***5,star5,香香脆脆的，口感很好，感觉特别好吃，毕竟一分钱一分货，相信京东这个品牌，买东西质量没得说，生鲜发货很快，而且第二天就能到，小苹果挺好的。
l***9,star5,快递速度非常快，包装妥妥滴，快递员服务态度很好，每个苹果都有独立包装，颜色比较鲜艳，口感爽脆清甜，性价比尚可，京东自营，值得信赖。
V***L,star5,口感鲜脆，甜而不腻，第二次购买，送礼自己吃都很不错的选择。。。这次让客服备注认真挑选发货，避免上次磕碰果的出现。不错！！！
u***l,star5,第一次在京鲜生买水果 购物体验:物流:超快！让水果的新鲜程度得到了保障品质:水果口感和品貌都还不错性价比:很高 做活动凑单 买的超级划算哟
x***q,star3,酸
d***q,star5,宝贝真心不错，与图片相符，没有任何差异，真的是物超所值，物美价廉啊先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意！
口***-,star5,水果很好，很新鲜，很甜，价格也实惠，值得购买。水果很好，很新鲜，很甜，价格也实惠，值得购买。水果很好，很新鲜，很甜，价格也实惠，值得购买。
c***y,star5,一直吃这款水果进口品质新鲜，冷鲜产品包装礼盒十分结实！产品品质也是绝对五星好评?????，一定会再次回来购买希望有优惠活动那就更好了！
M***5,star5,好评！京东电商的产品品质一如既往新鲜优质，保险很好，一有货就立刻送出，值得等待这么多天，关键用了实惠的优惠券。很不错的购物体验。
咕***3,star5,以前购买过几次这个牌子的苹果，感觉非常满意的。这次感觉非常酸，甜度不够。在京东商城购买经济实惠方便快捷的事情，发货速度也很快的，还能送货上门的。
相***i,star5,苹果闻起来很香，个头不大一次一个刚刚好，口感味道好，没有压伤各个红彤彤的，甜度适中，皮薄肉厚核小，物流也是非常的快，送过来还非常的新鲜
e***e,star5,新西兰皇后玫瑰苹果，产地是新西兰，源头就特别安全干净。采用物理驱虫，无农药，食用安全。果子不大，每个都特别爽脆多汁。酸甜适中。多次回购。推荐
青***恋,star5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！已经是第五次购买了！质量真的超好！穿上很舒服！同事朋友都叫我帮买！买到就是赚到！
爱***1,star5,多次购买这款新西兰进口的苹果了，质量不错的，价格也能接受，希望京东自营的平台能多搞活动呢，价格能再优惠些就好了，全五分。
黑***昼,star5,品质不错，就是价格有些小贵，一分钱一分货吧，孩子吃了说很脆，很甜，很好吃！外观也不错，没有坏果，比较满意的一次购物，支持京东平台！
q***2,star5,谢谢京东，京鲜生新西兰POSY小花苹果2粒尝鲜装 特级 单果120g起 生鲜水果，很是不错 包装严谨 干净 冷藏到位，苹果不错不错。
哞***D,star5,新西兰进口皇后苹果，一箱12个，个头不大，口感不错，挺甜挺脆，主要是新西兰的水果环保无污染，吃起来比较放心，京东快递次日送达，谢谢
人***梅,star5,小哥哥觉得这个苹果厉害了，而且认准这款，中考期间买来吃了不少，现在是放假了，孩子还想吃。继续回顾，努力为小哥哥健康成长提供条件！
j****,star5,这个苹果口感不错，色泽鲜艳，果肉香甜，国内夏季是新西兰冬季，也正好是吃苹果季节，这次买的大小均匀，两件装的是一个泡沫箱，里面有冰袋都没有化，收到苹果都是冰凉的，一盒礼盒装的没有冰袋，常温果子，也都挺新鲜。
眠***贵,star4,一，京东快递，速度快，安全又放心；二，包装完好无损，苹果也没有挤压变形；三，味道不错，挺有味道，跟国内苹果比，感觉稍微硬一点；
j***Q,star5,这块苹果很好吃，果子大小合适，每次一个刚刚好，除了价格有点贵，没什么毛病，下次还好再光顾的，小朋友喜欢这种口感，一个小果也刚刚好
j***7,star5,新西兰皇后苹果，个头大，水份足，口感甜，已经多次回购了，京东商城满减活动价格优惠，物流速度也越来越快，第二天早上就收到了，
j***Z,star5,发工资的第一件事就是给爸妈在京东上买水果，大多数的情况都不会踩雷，反而质量都很不错，服务态度都很好，家在农村都能送货上门！
宁***3,star5,新西兰的爱妃小苹果是至爱已经买了很多年，开箱就闻到果香，现在吃口感酸酸甜甜的，稍微放久一点果就很甜。京东下单第二天就送货到家，非常的方便。
j***R,star5,昨天下单买的三箱新西兰皇后红玫瑰苹果收到了，打开包装一股淡淡的清香扑鼻而来，果子红彤彤的，大小均匀，尝了一个，味道超极棒，脆甜多汁，很美味，满意。同时感谢快递小哥把苹果送到家里。
j***j,star3,送的挺快的，就是快递员态度很差
M***见,star5,苹果很新鲜，很漂亮，个头均匀，给妈妈买的，她不喜欢吃酸，没敢多买，等她吃了觉得好吃，再买多点的，京东物流很方便，送货上门。非常奈斯！
h***e,star5,昨天下午下单，今天上午就到。红玫瑰苹果多次购买，清甜爽口，味道不错，口感很好。一直是京东生鲜的粉丝，水果品质很有保证。希望以后价格能实惠一些。
l***9,star5,物流速度非常快，包装妥妥滴，每个水果都有独立保护套，质量很好，味道酸甜适中，价格比实体店便宜好多，加上优惠券绝对超值，京东自营，值得信赖。
r***n,star5,这个新西兰姬娜苹果非常好吃，又脆又甜水分又足，苹果香味浓郁，一盒六个，孩子非常喜欢，多次购买，京东的配送非常快，非常满意
s***e,star5,一直在京东的自营店上购买这款新西兰的红玫瑰苹果的，中果的个头大小均匀，适合一顿吃一个。口感很脆甜，水分多，很好。希望京东多搞些优惠活动哦。
j***2,star5,新西兰这款苹果包装保持不错。虽然价格相对较贵，但和现在来说应该是新鲜的苹果。以前在超市可以看到，原来也能买到，现在没看到过。
j***N,star5,收到货，第一时间拆包装，水果非常新鲜，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。
j***r,star5,多次购买了 此新西兰进口皇家姬娜苹果6粒装加力果 品质优良 新鲜美味 脆甜爽口 汁水丰富 家人都爱吃 很不错的小苹果 在京东优惠活动时购买性价比很高 值得推荐
j***m,star5,每年这个时间一直回购。一款口味清甜的小苹果，口感脆爽，大小合适，老少皆宜，物流发货很快，上午发货下午就收到了。包装很好。
j***m,star5,小花一款口味清甜的小苹果，口感脆爽，大小合适，老少皆宜，物流发货很快，上午发货下午就收到了。包装很好。每年这个时间一直回购。
東***仔,star5,新西兰皇家姬娜小苹果第一次买这个，样子真的好看，质量也好，也甜，味道算不错了，不过还是没有我去香港超市买的小苹果好吃，真的很久没吃到那个味道，又甜又爽口。看到京东有这个牌子，主要是自销的没这么多假货才买，主要试一下味道怎样。也比较不错了。支持一下吧。
