https://item.jd.com/5383292.html,"['京鲜生火龙果', '5383292', '1.65kg', '越南', '红心果', '冷藏', '进口']"
用户名,评分,评论
你***8,star5,火龙果真心不错，买的很实惠，很划算，超级赞，买的很实惠，很划算，比超市里便宜，我这儿的超市一斤要19.9元，太划算了。京东自营的，快递很快，水果没得腐烂的，而且很新鲜，真心不错，需要的朋友可以下单，绝对不亏！
j***5,star5,又收到新鲜的火龙果了，我们全家都非常喜欢?吃火龙果，快吃完了就续订购，京东生鲜水果非常新鲜，家里有老人吃着有保障方心，吃完再回购哦
r***n,star5,很不错的火龙果，值得推荐，赞?一直购买。京东物流快捷方便，赞?价格合适实在，京东购物就是放心，简单，快捷。值得推荐，赞?
奇***记,star5,水果还行啦，凑单一次买了好多呢，希望商家以后可以多点优惠活动啦，一分钱一分货果然没错，好评啦，回购过很多次了，物流很快哦！！
l***9,star5,味道甜美果实大小均匀大口咬下去都是汁而且没有纤维。皮皮薄肉厚。哈哈哈哈哈哈吃在嘴里果香浓郁，水分很足超甜，像是刚从摘下来的果子！皮薄肉厚一口咬下去特别满足，果肉细腻没有纤维，感觉很赞，很不错。建议到货后，放个2天再吃。
S***r,star5,这款进口火龙果品质很稳定，经常购买没有踩雷的情况，京东的物流服务很好，速度快保鲜做的很到位，到手冰冰凉凉带着水珠，口味很好，清肠通便必备佳品。
j***p,star5,京东自营商品的商品就是好，大果比较大，很新鲜，口感很好，比较甜，没有酸味，发货速度很快，头天买的的第二天就收到商品了，五星好评！
j***p,star5,很好吃哟，很甜没有酸味，应该是比较新鲜的，个头也比较大，个人喜欢白心的。京东自营店的商品发货就是快，头天下午拍，第二天中午就到了，五星好评！
G***t,star5,京东买的火龙果新鲜，以前一直整箱买的，快递员服务一流，晚上买第二天中午就到了，既快又好特方便，一年四季都是在京东买东西的，货真价实，五星好评
囡***宝,star5,京东物流质量很快，而且快递小哥送到家门口，自营大品牌值得信赖，产品质量很好，包装严实没有破损，还好没失望。可以推荐给身边的朋友！
t***8,star5,物流很快，好大的两个越南产火龙果真可称之为“巨无霸”非常新鲜且性价比超高，推荐购买！?
j***b,star5,京鲜生火龙果已经收到了，鲜甜爽口，好吃。自营店的，上午下单下午收货，方便快捷，送货上门，非常满意五星好评！
小***新,star5,拿着沉甸甸的，给宝宝买的做辅食用，圆乎乎的很可爱，玻璃杯，用着也安全放心，价格不贵，送货上门，到货速度很快，不耽误使用，很好，之前买了价格差不多的但是是塑料杯果断退掉了。
徽***3,star5,这是一个好评模板，因为本大佬不想买一个产品都写好评，所以特地写下这个模板。以前不知道评论可以涨积分，现在才知道好评的重要性，妥妥的，每条都来评论一下，赚京豆，下次还能抵现金用，评论80字以上，可以得到40个京豆，我无论买什么东西，都会把这条评论复制粘贴凑够字数，这是第n次在网上买东西了，棒棒棒，东西便宜，而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾，买买买，根本停不下来，东西品种多，而且又特别全，划算方便，包装很好。
正***x,star5,真是太好了呀，好久没买到这么好吃的火龙果了，实在是让人开心，真是难得的好水果，强烈推荐大家购买京东自营的火龙果，真是棒棒
j***5,star5,又收到白芯的火龙果了，一如既往的好吃，真新鲜味甘甜，收到后立即打开包装，品尝了非常新鲜，放冰箱里拿出来保鲜更好吃，夏季炎热吃冰凉火龙果很舒服！
风***6,star5,很不错的火龙果、一直有在回购、个头都比较的大、果子都很新鲜、里面也没有坏的地方、很香甜、品质还是一如既往的好、以后还会继续回购
立***刀,star5,非常不错！物流很快就在本地发货。很新鲜，各头也很大！不错，还会回购的。很甜！一天一个！已经推荐给朋友了！
智***贝,star3,还行吧，就是酸的，不甜
u***d,star5,拿到手的时候很新鲜，冰箱里拿出来的，上面都是水，看着不错，现在还没有吃，希望很甜很好吃，个头挺大，没有称，挺绿的叶子，感觉刚刚摘下来的，应该可以存放几天的，等吃了再来追评好不好吃
j***f,star5,这款白心火龙果已经无数次回购了，之后还会继续回购，赶上促销活动，价格非常合适，京东物流也很快，隔天就到，送新鲜，送香甜，非常满意！
只***盅,star5,收到了。水果特别新鲜。一共6个。收到就给宝贝打开吃了一个，不一会就吃的差不多了，很甜，好吃，下一次还会继续购买，大家也可以试试
爱***胖,star5,现在的然后配送很快很快就到达了家里，然后足金足量，每个吃起来都很甜，外包装也很好，没有破损的情况还会继续购买的，总体来说性价比很高，还是比较满意的，还会继续购买的。
j***k,star5,新鲜味道好，快递迅速，非常好的一次购物，平均10元一个火龙果！性价比还是非常高的，越南进口的比国产的新鲜，而且更大更好，
