https://item.jd.com/100000769111.html,"['京鲜生云南人参果 1kg装', '100000769111', '1.1kg', '云南、甘肃', '人参果', '冷藏', '国产']"
用户名,评分,评论
流***落,star5,菇娘收到了，打开看了质量非常好，包装箱完好无损，和描述一样，很新鲜是我买过最好的比普通果品质要好，个个都很黄很甜，发货及时 ！下次再买！
F***2,star5,?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买价格实惠，质量杠杠的，非常好的一次购物，下次还来.价格合适，质量也很好！
虹***3,star5,京东生鲜物流很快，一大早就到了派送点。。京东小哥派送的速度也很快。收到水果很新鲜的，凉凉的。京东自营的商品无论时效和质量都是有保障的。
x***0,star5,人参果已收到，京东真的是服务非常周到，水果全程冷链运输配送，吃到嘴里更觉得甘甜了，煲汤放进去感觉更加美味，京东购物图的一个顺心。
j***e,star5,非常不错的产品，已经购买过很多次了，每一次都很好吃，味道特别不错，我和我的家人都很喜欢，物流很快，没有任何破损，还会再来光顾的！
爱***心,star5,菇娘收到了，在路上就打开看了质量非常好， 包装箱 完好无损， 和描述一样， 很新鲜是我买过最好的比普 通果品质要好，个个都很黄很甜，发货及时[吡牙]下 次再买
a***y,star5,我对在京东购买的人参果感到非常满意。这款人参果质量优秀，果肉饱满，口感香甜。吃下去后能够感受到一股自然的清爽和滋补，让我在疲劳时得到了一定的提神和恢复。京东的服务也值得称赞，包装精美，物流快速，购物体验非常愉快。人参果是我保持活力和健康的良好选择。
M***e,star5,绝对是人参果中的战斗机！口感一级棒，很新鲜，汁水充足回味无穷，真的是太好吃了。强烈推荐，入手绝对不会后悔！?  •?•?……
j***g,star5,好东西，很好吃，不错，推荐大家购买，看上去还是很新鲜，京东快递员送货速度很快，好(o^^o)，好评，值得购买。。。。。。。。
k***h,star5,家里的小朋友真的是很喜欢姑娘果，回购无数次了，快递送货很快，下单后第二天就能到，能够快速满足小朋友的味蕾，还会继续回购的
凌***灵,star5,很香 吃起来很甜 家里人很喜次吃 小孩也特别喜欢果糖甚至渗透了结实的果皮这就是那种小时候有滋有味儿的水果基本没有坏果。感圆滑，一咬一股甜水。
j***x,star5,买过又再次回购，小时候的味道，很值得怀念的味道。商品颗粒饱满金黄色，质量上乘。包装很好，沒有坏果。京东快递送货超快，送到家门口了。
h***4,star5,五花果挺好的也不少，慢慢放着颜色会变黄，真好可以均匀的吃掉不担心坏了。黄了的果子水分多清甜，放冰箱冷藏后非常解暑，盒里的已经被我吃掉一个的后拍的照片
