https://item.jd.com/3042415.html,"['京鲜生椰青', '3042415', '2.31kg', '泰国', '大果（900g起）', '椰青', '香水椰', '冷藏', '进口']"
用户名,评分,评论
一***基,star5,泰国椰不黑不吹确实比海南椰好太多了，椰子汁水香甜可口，个个饱满，椰子肉也是甘甜脆爽，椰青省去了去皮的麻烦，轻轻松松就能打开。椰子水和椰肉除了喝之外，拿来炖土鸡，真的是绝配。鲜香四溢，老人孩子都喜欢的不得了。京东自营的水果，买这么多回了，从未失望过，点个赞
j***n,star5,买了好几次，物美价廉，给媳妇喝的，那会怀孕，说和这个好，就买了，现在满月了，才过来评论，感谢京东，，
C***R,star5,除了赞，无话可说，最近降价了，赶紧多囤一些，好喝不怕胖，发货超快，晚上下单早上就送到了，京东大品牌，东西也非常新鲜，味道鲜美，赞赞赞，夏天的神奇伴侣，满意！
萱***6,star5,椰子很新鲜，椰汁，味道也很好，香甜，家里人都很爱喝，每天每人喝一个，喝完了还可以吃里面的椰肉，价格优惠，下次会回购，会推荐给朋友。
寺***炎,star5,闺女特别喜欢喝椰子，看到打特价，果断下手，每个还挺大，希望好开口，这是我最大的顾虑。如果好喝，就算找到可靠渠道了，真是美
祥***6,star5,京东物流一如往常一样的快速，次日达第二天就可以送货上门了。购买的大椰子很甜，椰肉也有不少，皮比较薄已经购买了很多次都很好。
拂***h,star5,椰子买过很多次了，味道非常的不错。这个椰子个头很大，水份很足！包装不错，里面用保鲜膜包好的，外面还有一层！快递也很给力，送来椰子还是很冰的！
打***子,star5,不错，第二次买了物流很快，早上下单，下午就到了，还是冷链运输的，拿回家还是冰冰凉的每一个都很大颗，很重，感觉很有料，喝了口感确实好
一***基,star5,泰国香水椰，一直都非常喜欢。已经在京东买过好多次了。京东水果自营闭眼入手，完全不用担心。椰子非常新鲜，汁水饱满清甜，放冰箱冷藏半天，夏天解暑神器，透心凉，心飞扬????
刘***申,star5,物流很快，昨晚下的单，今天上午就到了，打开后，果汁非常新鲜，果肉也很香甜，没想到在内地也能吃到泰国的椰子了，太好了，非常好。
如***0,star5,在这家店买过很多次了，椰青挺不错的，到家里包装啥的都挺整齐的，没啥损坏，当天打开了一个喝了，味道确实不错，很清甜好喝，自己弄挺好打开的，整体都很满意。
j***t,star5,叶子很新鲜，没有坏的。每一颗都特别好，椰汁太适合夏天了，喝起来很清爽。每年夏天都会购买。很信任京东的快递小哥，每次送货上门。
8***静,star5,京东自营大青椰已经收到货了！早上下单下午就送到家啦，京东物流太给力啦！没有之一全网最快的快递！这款大椰子口感很是清甜！非常好也非常清火，刚好家里小孩得肺炎了，正适合喝这个甜甜的大椰子！尤其是椰肉巨巨鲜嫩非常好吃！太值得推荐购买啦！品质也是杠杠哒！同时快递包装的也非常好有颜值！
u***2,star5,夏天到了，不敢喝饮料，全是科技与狠活，喝一杯天然的冰冻耶皇，简直不要太舒服，一定要放冰箱冷冻，这样口感更爽，每天喝一个，爽歪歪！
q***a,star5,椰子整体很新鲜，发货的第二天就送货上门，给家人买的，送的打孔器也比较好用，用锤子敲一下就可以打开，口感不错，会再次回购的。
飞***心,star5,椰子很大个，这么大的椰子在市场买差不多要15块一个，椰汁也很甜，夏天放在冰箱里当饮料喝很不错，以后可以长备在冰箱里了，椰肉我也很喜欢吃。
u***c,star5,大品牌品质有保证。物流方便快捷，包装完整无缺，价格便宜实惠。已在京东购买多次，每次都是很满意。个头大小一致，蛮大的，色泽很新鲜。口味鲜甜可口，果肉白嫩细腻。一如既往信任京东。
L***n,star5,椰子味道很正，主要是新鲜！运送都是带冰保鲜的，物流很快，第二次买了，夏天一家人喝一喝，也用来炖了土鸡。不能留太久就是，要及时食用，要保存就要放冰箱！
b***8,star3,口味还可以，但是比900克的规格多的200克都用在了壳上
陈***解,star5,皮很厚，不过椰子水也很多，这个椰子跟其他椰子喝起来不一样，这种喝起来是香甜的，有一股很清香的香味，非常好闻，而且也很甜，冰一下更好喝
-***-,star5,燕子味道清新扑鼻，京东购买价格便宜，物流也非常的快，香水清烟味道好极了，而且非常不错，绝对是好东西，价格物流比较便宜！！
秋***沫,star5,口味纯正地道的椰子汁，多次购买了，孩子很喜欢喝的椰子汁，夏天的解暑神器，京东自营的买的放心，物流速度也快，当天下单第二天就到了。
小***_,star5,这个椰子?的味道很香，很好喝，清凉解暑，很解渴，很清甜，很适合夏天家里的宝宝喝，味道非常的新鲜，很不错，推荐大家都来购买，都来喝！
大***刀,star5,很好吃，一口气喝完挖完椰肉，才想起来要拍照。买了两个先尝尝，第一个很硬，费了半天力气才整开，第二个有经验了就快一点，第二个放冰箱忘记了好几天才吃，还挺新鲜的。
素***a,star5,椰子很新鲜，不比佳农的差哦，价格也要便宜很多。前一天拍，第二天早上就送到家门口啦，特别方便，椰子有点难开，口感是新鲜的。
j***g,star5,物流服务非常快，下单后到货挺及时。椰子水非常好，品质不错，经常下单购买，同时也为家人购买。好喝，同时也会推荐给朋友们喝的。
z***1,star5,快递快捷方便，很快就送达了，包装完好，没有任何损坏，椰子很新鲜，也很容易打开，味道很不错，大果喝起来更爽快，是个不错的水果
j***c,star5,拿来做椰子冻特别好吃，肉很多，不会很甜，一点也不腻，很好吃。京东买很划算，外面的水果店一个要15块钱。等我吃完了再来。就是太大个了，冰箱不大，放了几个椰子，就没有位置放其他东西了。
h***3,star5,在京东上平台上买这个椰子，送货速度非常快。包装也非常好，虽然还没吃，但是相信如果是泰国产的椰子质量，应该是还是可以的，先放冰箱冰一下吧。
宇***仔,star5,非常好的，椰子?，很清甜的椰子水，没有酸味说明非常新鲜，味道一级棒，物流速度很快，最迟第二天中午就能到，推荐大家购买，尤其是孕妈，比盒马的更好喝
宇***仔,star5,椰子味道清甜，非常适合孕妈妈喝，天气虽热，但是京东物流非常快，当天凌晨下单，晚上6点左右就能拿到手，这个速度很给力了，开了一个还是很好的，价格也不贵
D***儿,star5,快递发货快，第一天下单，第二天就可以收到货，快递小哥送货上门，方便快捷，快递包裹很严实，东西新鲜干净，售后很到位，有问题很快解决，推荐，一定要在椰子的底部打开，会很容易
井***狩,star5,这个椰青水很足，买了三次了没有坏果，可以放心购买哈哈哈，送的工具也很趁手，很好打开，家里老少兼宜，不错不错，下次再来回购～
j***8,star5,泰国青椰子特别新鲜，每一个都很大，开孔以后，椰子水甘冽爽口。配送有吸管，喝着太棒了！而且快递特别辛苦，昨天下单，今天送到，那么沉，给快递员点个大大的赞???
东***点,star5,真不愧是京东物流，这种鲜果还真得是京东的冷链物流，到手是还是冰凉的，椰果的外观很新鲜，包装完美无瑕，开了一个味道很鲜，但感觉没有那么甜，总的来说还是不错的，值得推荐大家购买！
犇***D,star5,椰子个头大，很新鲜，口感也不错，甜甜的，放在冰箱里，拿出来吸一口，整个人都清爽了。大人小孩都爱喝，整箱买价格也实惠，不错。
j***f,star5,又是一次非常满意的购物，椰青非常新鲜，椰汁清香甜美，非常非常好喝，家人都喜欢，特别是炎热的夏天，喝着真是舒服。再次为京东快递点赞！
傻***儿,star5,嗯，这是孕期用的椰子，已经买了好多次了，非常的新鲜，发货速度也很快，里面的椰肉也特别的厚。然后配的这些开业器也非常的好用，已经买过很多次的，还会继续回购。感谢店家。
u***9,star3,一般般
欢***天,star5,这个椰子已经买了好多次了，今天呢，又下了一个新单，每次很快就喝光，关键是京东的物流很贵，品质也让人放心，几乎没有不新鲜的
j***d,star5,收到了，谢谢啦真的太好了，个头好大啊！谢谢啦！下次还会继续回购的，谢谢啦！真的万分感谢，太好了，谢谢啦！
j***j,star5,多年前就在京东商城买这个椰青了，其他店的也买过。但还是直营门店比较好，不但次日达，这个椰子水特别多，椰肉非常嫩滑。非常浓香甜口，无论是煲鸡汤还是直接喝水吃肉都是很好滴！继续回购…
a***y,star5,我最近在京东购买了椰青，对其品质和购买体验感到非常满意。椰青新鲜多汁，口感清爽，给我带来了享受热带水果的美妙感觉。京东在包装和配送方面都非常仔细，确保椰青的新鲜度。我特别欣赏他们提供的评价系统，能够让我了解其他买家对椰青的评价，增强了购买的信心。综合来说，通过京东购买椰青是一次愉快的购物经历。
j***w,star5,非常健康的东西，可以把椰子水喝掉之后按照网上教的方法，然后再用勺子把椰肉吃掉，非常香甜可口，会继续回购的，价格也是非常不错的。
烽***生,star5,昨天买第二天就收到了，速度很快的，夏天喝着很解暑，天气热了，水也喝的多了，经常喝点椰子水，营养健康，超级划算的哟，还是买这款包装的吧，这种比易开盖的好一点，不容易被污染
1***s,star5,第1次购买泰国香椰，昨天晚上订的单，今日一大早就到了，配送速度还是杠杠的。拿回来全家人都喝了，味道真的不错，值得推荐大家购买！！！
j***z,star5,第一次在京东买椰子，意想不到好啊，椰子很好，都很新鲜，也很大，夏天开一个椰子喝别提多舒服了，椰肉也可以吃，京东生鲜不错，放心购买，还会回购
烽***生,star5,多次购买，非常甜，还是一样的味道，夏天炎热喝口清凉。包装啥的都很好，完整没有不好的地方，吃完再会购买的，大家可以放心购买
A***买,star5,昨天买隔天就收到了，速度很快的东西不错，夏天喝着很解暑，天气热了，水也喝的多了，缓缓叶子，营养健康，超级划算的哟，买买买，这种比易开盖的好一点，不容易被污染
j***8,star5,京鲜生 泰国进口椰青 9个原箱装 大果 单果900g+  赠开椰器和吸管，商家发货很快，产品质量很好，下次再来这家购买！！！
V***K,star5,品质很好，很清甜，然后适合夏天解暑，放在冰箱里慢慢当饮料喝，有营养值得购买，特别是怀孕的时候，塞满了整个冰箱，都是椰青，太棒了
若***1,star5,这款个头比较大  口感也清甜  夏天时候冰箱的常备款  拿来做椰奶冻啥的简直不要太健康太好吃   京东送货也快速  性价比高  推荐购买
w***6,star5,金钟大品牌值得信赖死的心了，好家伙泰国椰子汁自己去太小了，你去签到秀很多，没有以前买的好偶尔也都没有一个大的哈，哈哈哈哈。
s***o,star5,送的开孔器不好用，直接菜刀暴力开壳，还行，顺便喝完把椰肉一起吃了，味道不错，跟在泰国喝到的一样，椰肉也很好吃，软软糯糯的
梦***竹,star5,椰汁很好喝，每天喝一个，味道很清甜，感觉挺新鲜的，女儿也爱喝，这次收到的是展卉的牌子！京东的物流是非常的快，第二天就送到了，很赞
f***s,star5,非常好喝的椰子汁，香香甜甜的，炎炎夏日喝上一个冰镇的椰汁感觉太好了，比饮料好太多了，椰肉吃起来味道很好，性价比超高，京东物流送货很快
傻***儿,star5,椰子非常的新鲜，每次买都觉得很满意，现在得经常买，所以质量信得过，快递也很快，非常满意，质量特别好，没有坏的，赠送了开椰器
x***k,star3,有个坏了，忘记售后了，味道还可以
j***i,star5,jd图片描述与实物一致，快递也很给力，泰国的椰子很好吃，味道更甜，椰肉也很嫩滑，第一次买，很成功，夏天放在冰箱里冷藏更好喝
轻***梦,star5,椰子水收到了，物流很快，没有坏果，很新鲜，口感很好；椰子汁很好喝，没有渣，很香，很好喝，一点都不腻；还送了开果器和吸管，总得来说挺好的
