https://item.jd.com/100060192685.html,"['京鲜生水蜜桃4粒', '100060192685', '1.175kg', '安徽/山东/河北/四川/江苏', '水蜜桃', '国产', '冷藏', '安徽']"
用户名,评分,评论
熊***6,star5,很新鲜，很不错，味道好，送货快宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～
9***7,star5,客服给完美解决了，东西很好，物流也很快客服给完美解决了，东西很好，物流也很快客服给完美解决了，东西很好，物流也很快客服给完美解决了，东西很好，物流也很快
j***w,star5,水蜜桃很大个，水份充足，甜度适中，5斤没有一个坏果。我放冰箱冷藏后再吃，那味道更好哟。我每天要吃2个水蜜桃哈后续会再回购
i***m,star5,桃子个头非常大，水分充足，比较甜脆，放两天就变软了，可以撕皮。肉已经离核。在同一时间，买了水蜜桃黄桃和蟠桃，首要最好吃的是蟠桃，其次是水蜜桃，最后是黄桃。
L***3,star5,买了两份，都是好的，没有坏果，很不戳。大部分都是硬的，需要放几天才能吃，当然喜欢吃硬桃?的人可以忽略。水蜜桃还是软桃好吃，味道很足。
江***鱼,star5,水蜜桃收到了，很新鲜，没有坏果。国内水蜜桃品种很多，有的很贵，贵的离谱。这款水蜜桃价格比较适中，既能满足口福，又不至于花太多的钱。味道还不错，还会再买的。
j***n,star5,挺好的，都是很大的个的，很新鲜脆甜的，有优惠活动时买价格也划算，不用操心送货到家 ，有问题售后很快就解决了，喜欢京东购物。
蒾***姐,star5,2.5kg的一箱桃子，大概有十一个；个个又大又红，看着就很有食欲；果皮上毛毛不多，不会引起瘙痒不适症状；一口香甜，汁水饱满，消暑解渴。
j***m,star5,京东自营的水果值得信赖，每次都从他家购买，价格合适，主要是水果都比较新鲜，再加上京东主打一个快！尤其是热天水果在运输过程中很容易磕碰变坏。
x***7,star5,收到的桃子里面有两个坏的，但是售后回复处理很及时，还是给五星好评，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东东，我很满意。
