https://item.jd.com/4225568.html,"['京觅千禧圣女果1000g', '4225568', '1.5kg', '海南陵水', '圣女果', '国产']"
用户名,评分,评论
东***荣,star5,服务特别好，送货特别快，包装很好。很新鲜，没有坏果，这个小番茄口味特别好，纯正的番茄味道很浓。前两天买了一次，觉得非常好，这回是补货。推荐给大家值得买。十分满意，5星好评。
芳***g,star5,京东的物流还是很速度的，包装完好，基本没有破损。自营店的水果质量可以的，对于易碰摔的水果，基本都做好了避震，一直在自营店回购的该店铺购买≥10次•上海16 ..东***荣 BLs 回容2023-0食食食食含1釜山88爆汁圣女果 1kg装服务很好。送货特别快，包装很好。很新鲜。口味相当好。我会一直关注，并日准备回购
仰***少,star5,红彤彤的，看着就养眼，很新鲜，皮薄，很甜.家里人都很喜欢吃的哦，圣女果营养价值高，富含维生素c，是一款很健康的水果，超级满意的效果
紫***妍,star5,商家发货非常快，物流也特别快，食材特别新鲜，日期很好，在京东平台购物，就是即快又好，下次我还会光顾的。希望能买到更实惠更好的东西。
w***u,star5,小番茄挺好吃的，也是第一次通过99元3件买黄色的，包装很好，外面套一个塑料盒子，物流很快。特别是口感，没有红色那种酸，比较甜，每个果子都没有软，好评
d***2,star5,这是我第二次回购这款圣女果，口感非常棒，甘甜可口，入口即化。全家老幼都非常喜欢吃圣女果，可以当餐前开胃小菜，也可以饭后解腻。
d***2,star5,这款圣女果是我吃过最棒的圣女果，口感非常不错，甘甜可口，已经回购很多次，每天中午午餐当主食吃，营养又健康，会一直持续回购。
东***荣,star5,服务很好。送货特别快，包装很好。很新鲜。口味相当好。我会一直关注，并且准备回购。这个圣女果味道特别好吃，最关键是很新鲜。十分的满意，5星好评。
j***d,star5,哇，真是太意外了，第一次买到这么好吃的小番茄，皮薄汁多，番茄味十足，配送过来的时候没有一粒番茄是坏的，家里小朋友也很喜欢吃，爱了爱了
S***微,star5,"小番茄挺甜的，很新鲜，吃完再买。京东送个货就是方便, 今天买今明就能到，百分百送货上帮助宝妈省了取快递的时间，真心满意。"
花***G,star5,正儿八经西红柿的味道。有的还很甜特别好吃。买了两包。很小很小的小西红柿。特别喜欢吃这种小的。买了两斤。下次再买。京东很方便。
