https://item.yiyaojd.com/3508890.html,江中健胃消食片,3508890,194.00g,中国大陆,CAN003069G,通用,片剂,非处方药,口服,国产
用户名,评分,评论
j***m,star5,"在京东买过很多次药了，不管是皮肤用的，还是内服的 都值得信赖 ，胃部不舒服多买了几种 看情况服用，还是很管用的，送货快，方便快捷真的不错,，生产日期都是近期的。"
h***g,star5,脾胃虚弱者，日常必备之良品，胃动力不足消化不良时，饭前吗丁啉来一片，饭后这个嚼三片 比较有效果的。生产日期还不错，价格比较优惠，送货也很快。
j***a,star5,孩子挑食真是操碎了心，吃了这个还真管用，小家伙胃口好了不少，顿顿没少吃，就盼着他们长高长大，中药材的配方，安全无副作用，吃着放心！
我***去,star5,很不错，消食助消化，对肠胃也好，这个用了好多年了，这几年来用的一直是这个，老牌子值的信任，京东物流也很快，第二天就到了，真的很不错
爱***3,star5,物流很快，包装完整无破损，最新日期，一如既往的好。这是第二次买了，小孩子积食吃几片就好了，味道好极了小孩很喜欢吃。
y***8,star5,最近消化不好，趁着活动就入手了，以前就吃这个，价格合适，味道也很好，这次一下囤了3大盒，价格真的很实惠，很好！江中健胃消食片一直以来都是促消化的第一选择。价位不高，比实体店便宜的多，会在京东超市继续买的。几以前几乎从未认真评价过，也不知道浪费了多少分。起初我很担心。现在我习惯了，这真的很好。
果***成,star5,这是一个好评模板。因为本大佬很懒不想每个产品都写好评所以特地写下这个模板，以前不知道~评论可以涨积分，现在才道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第N次在网上买东西了，棒棒棒，东西便宜布且质量好，物美价康，买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西品种多而且叉特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以一超级好用，好评，下次再来看着有点小，还没用之前就买过好几次了，这次的还没用，但还是很放心，肯定还会跟之前一样好用，完 全挑不出任何毛病的那种。
j***R,star5,日期很近，京东商店质量好棒。京东的货有质量保证不像朵朵平台效日期这个月了的货还在卖，以后在京东买实在些！
冰***E,star5,家里常备的药 吃多了吃油腻了不消化就会吃几片这个 味道很好 酸酸甜甜的 效果也很好 一大盒很实惠 里面是分装的 很方便 无限回购
j***y,star5,健胃消食片收到了物流很快的，京东自营商品配送就是快，已经多次购买了江中健胃消食片了大牌子值得信赖，每次都是毫不犹豫的选择购买，而且活动期间购买很划算。
k***z,star5,消食片一直以来都是促消化的第一选择。价位不高，比实体店便宜的多，会在京东超市继续买的。吃点儿这个健胃消食片就舒服很多，所以经常在京东上买，性价比比线下高好多！并且京东快递很方便！
s***L,star5,京东百亿补贴购买的，价格美丽?下单次日达，物流给力?宝贝消化不好，健胃消食片的味道很喜欢，假装“糖果”每天吃1-2片，效果很好?
简***活,star5,健胃消食片，从疫情开始的时候，就从京东上买药，药品质量放心可靠，京东物流超级赞，送货小哥服务热情，每一单都会打电话。继续支持京东！
l***2,star5,大品牌，值得信赖！一直在吃这个牌子。物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来！
h***e,star5,江中牌健胃消食片很不错???，口感也很好???，吃起来爽得很???对对对，这都是第N次购买了，??我?里
d***f,star5,"客服态度特好，我会再次光顾的，发货迅速，态度很好，很满意！很好很好！下次有机会再找你，客服人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心。"
j***2,star5,胃不好吃了这个舒服多了，京东自营有保障而且物流很快，昨天下单今天上午宝贝收到，京东医生服务好还给你发短信提醒用药注意事项，特别贴心。
温***o,star3,还行吧，感觉出不来有什么效果
l***9,star5,京东自营药房活动优惠价时购买的两盒消食片，第二天就收到了，相当快。和以前购买的小盒装的是一样的，饭后吃几片帮助消化。非常满意的购物体验。
h***9,star5,京东物流非常快，送货****也很好，这个健胃消食片，家里一直备着，吃多了，胃胀的时候嚼三片，效果不错的，能很快的缓解，京东大药房值得信赖
j***f,star5,应酬太多，饮食无度，肠胃常常不舒服，因而家中常备这个东东，消食健胃效果的确不错，也方便服用，江中大品牌质量令人放心，物流还快
j***5,star5,江中健胃消食片家里常备药，老人消化不太好，经常吃几片帮助消化，效果还是很明显的，京东药品可以放心买，价格公道物流快速，药品正宗，很好的选择
j***N,star5,收到货了，很大一盒，价格便宜，因为在外面购物不方便，京东送货很快！而且很方便！一直在吃这一款健胃消食片，甜甜的，很好吃！吃完会舒服点！
z***1,star5,最近消化不好，趁着活动就入手了，以前就吃这个，价格合适，味道也很好，这次一下囤了2大盒，价格真的很实惠自己一盒，再给家人一盒，很好
杨***呀,star5,江中牌的健胃消食片。一直以来就是作为家庭的常备药品。饭后吃完来两片，是一个习惯性的动作。促进消化。口感很不错。身体很舒服。
噢***6,star5,京东自营物流就是快，自营不用担心买到假商品，自营售后也相当有保障！我这边的京东快递员服务到位。态度也很好！总之在京东购物很愉快！产品满意，药效不错
等***灬,star5,大品牌值得信赖，一直回购的一个产品，饭后吃上一两片，确实感觉到好多了，缓解了吃太多带来的爆肚感，产品的质量也是不错的，。
j***2,star5,江中牌健胃消食片助消化，消积食。包装很好，味道跟药店的一模一样，家里常备。物流很快，感谢商家、物流。
w***7,star5,京东速度杠杠的，嘎嘎滴，实在是真的够快的不行，当天下了单，第二天一早就被送到了，简直是神速。这药也保真，饭后来上两片，帮助消化。
桑***0,star5,京东发货很快，到货更快，包装的很好，价格也特别实惠，帮助治疗积食、腹胀、不消化等胃部小毛病功效也是很不错了，老牌子值得购买!
j***0,star5,最近不太管得住嘴，追剧的时候总想吃点小零食，饭点吃完饭就感觉很撑，想起来以前电视老播这个广告所以买了两盒。挺不错的，好用又实惠，一盒里面两包，一包4片，一片8颗，能用好久了。吃起来像糖果一样，甜甜的，有一种清香，效果也很明显，撑得难受吃一片坐会儿就能正常站起来活动了。
胖***8,star5,京东物流很快，晚上下单，第二天一大早就送到了 ，另外和药店里面的一样，价格还便宜点，积食吃点江中，老牌子了，以前电视广告一直放，希望日期早一点。
知***民,star5,消食片收到了，发货速度很快，物流也很快，昨天下单，今天就到，包装很好。这是第一次在京东商城购买健胃消食片，以前都是在线下药店买的。好划算，搞活动买的。赞赞赞
