https://item.yiyaojd.com/3029091.html,东北制药维生素C片,3029091,19.00g,中国大陆,BJC002035C,非处方药,片剂,成人,口服,国产
用户名,评分,评论
C***r,star5,京东百亿补贴活动价买的，经常在京东购买药品以及其它类生活用品，非常地便捷且质量嘎嘎的好，还会一直持续支持与关注！特别是快递员很贴心，提前打电话，把货送到家门口，不用自己去快鸟驿站去拿货，给予快递员五颗星，商品五颗星，包装五颗星，京东五颗星！！！
肖***龙,star5,挺好的已经收到了，不错不错，京东自营很方便很给力，发货及时，送货及时，一如既往的支持京东自营。666时间久了再来追评。哈哈。
l***a,star5,一款性价比很高的维生素C片~物流很快，包装完整，京东购买很是方便快捷，经常在京东购买各种保健品，搞活动很划算，和普通的咀嚼片不同，是OTC非处方算是药品了，整体好评！
j***c,star5,维生素就是这种含量高，效果好。比那种果味的好很多。真的好喜欢，客服态度也挺好的，值！以后有需要还会来买
圆***蛋,star5,送货速度非常快，由昨天定的药今天上午就送到家里了，实在是太方便了，加价格比外面要便宜很多，实惠极了，下次还在这里买药。赞?！
j***c,star5,我本人非常喜欢在京东商城网购，价格比较实惠且品质保证，物流快又负责！这种维生素C是看到网上有人推荐试着买来试试，试过一段时间之后再追评！
看***大,star5,经常在京东商城买东西，物流时效性不用多说，快递小哥的服务态度也很好，每次都是送上门，没有电梯大件也是呼哧呼哧扛上来，有的时候确实挺不好意思的，产品包装很不错，价格也比较实惠，物美价廉，祝卖家生意兴隆，大卖！
A***1,star5,感觉还行，买来用来防止维生素缺乏提高免疫力用的。之前那种善存片或者其他看起来很fancy的维生素片都非常贵，这种高性价比的功能也都一样，好评！
志***猪,star5,商品质量很好。东北制药是一家老企业，大品牌值得购买，，购买药品，要特别选择生产厂家，像这种唉有资质的老企业更可靠，更放心。包装很严实，售后无忧。是回购了，物美价廉，有品质，这种能保持几十年良心价的药厂必须大力的支持。吃了接着来买。相信京东电商，希望以后有更多的优惠价，有了万能京东，全国各地优质食品京东也可以买到，方便了很多。
j***5,star5,首先产品性价比很高啊，维生素C的含量很不错！非常酸啊，酸啊！不过为了美美的，能忍受！???? 多次购买了，经济实惠，跟几十块甚至几百块的是一样的效果，，京东自营好方便，物流很快第二天就到了，很省心，服务也一如既往的好，满分好评！
焦***糖,star5,和硫酸亚铁一起买的，增加铁的吸收，增强免疫力，这款经济实惠，跟几一块甚至几百块的是一样的效果，，京东自营好方便，物流很快第二天就到了，很省心，服务也一如既往的好，满分好评!
1***东,star5,大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物下次还买
j***u,star5,维生素好用，好吃，见效快，值得推荐，还会再次过来的，一百万个赞，全家一人一瓶，老人吃了显年轻，年轻人吃了显健康，小鹏吃了，促生长，不错不错的，
F***羊,star5,京东的速度，京东大药房，在京东大药房买药放心，这个药在吃 挺好的，一次买了几个药，维生素C D E  。。。。。。。。。。。。
a***7,star5,之前吃过一些健字保健类的维c，这次京东推过来的药字的维c，量应该不小，对比之前那种大瓶的，小瓶的更像药。效果的话本来就是图个提升免疫力，不可能有什么显著的效果，吃完再说吧。铝箔封口挺好的
j***D,star5,维生素C片是搭配补铁胶囊?一块吃的，一块吃吸收好，医生让这样搭配的，跟药店里的是一个牌子，像我这样贫血，是孕期必须品。
c***l,star5,"便宜实惠的维生素c,药店都不太愿意卖这种便宜的瓶装维生素了，估计没啥暴利，也只有网上京东药房这种店能买到，便宜量大，非常好用，效果和那些花里胡哨的差不多"
L***i,star5,可以提高免疫力，因为在流感季节容易感冒。现在愈发的明白这些微凉元素的重要作用了，所以适量的补充一些防止缺乏是很有必要的。
学***_,star3,先吃看看
嫣***6,star5,维生素C是身体必须品，尤其是抗病毒起到重要作用！家里人经常服用，补充食品中维生素缺乏！包装严格快递速度！快递小哥送货上门！
J***-,star5,挺好的，味道有点酸，每天含一片，增强抵抗力，二阳的时候完全没发烧，可能和坚持运动有关，反正感觉比天价泡腾片实际
烦***戏,star5,药店的维生素C咀嚼片十分畅销，价格还不便宜，买到这个国产的小瓶维生素C片，简直赚到了。现在除了运动增强自己的抵抗力，多补充维生素C也不必不可少的。
张***挺,star5,第一次在网上买维c，比药店买的实惠多了。东北制药出品，100毫克一片，总共100片，量大优惠，值了。一开始还是有点担心怕有假的，现在吃了几天了，和药店买的一样，不错。
j***j,star5,京东大药房物流很快，产品包装很好，快递员送货上门。维生素C片，适当吃点，增强抵抗力，预房牙龈出血，有一定的治疗作用。
j***6,star5,?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?正品店铺，放心购买，客服态度也很OK，整个购物过程非常顺利！下次还会再来的！赞！款式很大方，质量非常好，价钱也很合理
娴***鹤,star5,价格合理，性价比高：京东的维生素C含片价格相对合理，同时不定期推出各种优惠活动，让用户能够以更优惠的价格购买到高品质的产品。长期稳定，口碑良好：京东作为一家具有丰富经验的电商企业，其维生素C含片长期稳定销售，并获得了广大用户的良好口碑。
j***g,star5,价格合理，性价比高:京东的维生素C含片价格相对合理，同时不定期推出各种优惠活动，让用户能够以更优惠的价格购买到高品质的产品。长期稳定，口碑良好:京东作为一家具有丰富经验的电商企业，其维生素C含片长期稳定销售，并获得了广大用户的良好口碑。
冯***3,star5,我是特别注重养生这块，平时上班忙，感觉平时摄入的维生素不太够，习惯买点维生素做为日常补充的，反正一直陆陆续续没有断过！感觉隔日吃比较好！希望大家也跟我一样注重一下养生，而且在京东买药放心也安心，不会买到假货！以后还会一如既往的支持京东的！
j***o,star5,100片，含量还很高，几块钱，不要太完美，京东送货还超级快，包装很完美，不用跑药店，京东上就全解决了，太省事了，性价比很高，又找到宝儿了。
琉***火,star5,这个维生素C片真的太棒了！100mg的剂量，100片一盒，绝不需要担心长期的摄入问题。吃了这个片子，我的身体感觉更有活力，更加抵抗疾病。它能预防坏血病，急慢性传染疾病和紫癜，太实用了！强推这个牌子，赶快来一盒试试吧！
行***行,star5,京东自营，品质有保障，服务也很好，一直充值会员，购物很轻松愉快，快递更加快，这个商品很好，性价比很高，下次继续来回购，非常满意。希望京东能一直坚持如此品质和服务，价格非常美丽，一直购买京东自营的东西，服务质量有保障，已经是几年会员了，一直支持。
j***2,star5,发货和物流都非常快。谢谢快递小哥！这款东北制药的维生素C片，生产日期较近，可以较长时间保证质量。满意！
A***g,star5,物流还是比较准时的，另外包装也没事，没有破损变形。这个维c片，现在是常备的小片吧，经常的上火溃疡，这个是必需品了，配上多维更好
u***4,star5,感觉挺好的，一直在坚持吃，一瓶不贵，比起营养品的维生素 C 便宜太多了！建议可以考虑买这种药厂生产的维生素 C，不用买那么贵的。
m***f,star5,多次购买了，经济实惠，跟几十块甚至几百块的是一样的效果，，京东自营好方便，物流很快第二天就到了，很省心，服务也一如既往的好，满分好评！
M***志,star5,东西收到后与图片描述一致，卖家发货速度快，服务到位，送了小礼物，五星好评。宝贝质量不错，比想象中好多了，店家态度好，宝贝质量好，值得信赖。宝贝外观好看，包装用心，物流给力，物流速度快，非常满意。物品物超所值，客服态度好，值得信赖，每次购买都物超所值。五星好评，物流快，物流给力，每次购买都物超所值，值得信赖。
