https://item.jkcsjd.com/100013991887.html,可威磷酸奥司他韦颗粒,100013991887,27.00g,中国大陆,通用,国产,颗粒剂,处方药,西药,口服,其他
用户名,评分,评论
1***6,star5,在这个甲流横行的时候，多备一些还是可以更踏实，更有安全感的，而且药效真的很不错，京东上买更划算，就算在偏远地区，一般也就四五天就到了！！！！！
l***f,star5,活动期间在网上购买，价格要比实体店便宜很多。金毛好饱满应该也是真的，总体来说还是非常合适的，建议在网上购买。使用医保卡出来。
j***o,star5,甲流病毒感冒，奥司他韦是真的很厉害的，药到病除，是治疗甲流的非常有效的药物，京东物流配送速度很快，大品牌值得信赖的，多次购买了
嗷***喔,star5,非常好，首先，物流速度极快，下单第二天就到了，发货速度快，服务好，包装完好无缺，送货上门，无瑕疵，终于在京东买到价格便宜，质量又好东西。其次，物流速度非常的快，晚上下单第二天早上就要配送了，这一点特别的棒，给我们客户提供了非常好的购物体验。最后品质好，价格实惠。
爱***啦,star5,孩子容易病毒感染，经常发烧。医院也不一定能开到奥司他韦。趁着京东做活动，囤点在家里，很便宜，比药店便宜了一半。药效非常好，神药啊
北***侣,star5,京东购物就是多快好省快递也很给力的送货及时态度很好外包装完好无损价格也是很不错！磷酸奥司他韦颗粒买的很及时，正好赶上喝了一袋，好了
j***p,star5,家里有小孩，有时会病毒感染和感冒发烧，买回家里先备着，跟在医院开的药是一样的，日期非常新，物流也很快
叶***星,star5,买回来预防甲流的，成人和小朋友都适用，成人加大剂量就行，京东自营的品质一直有保障，快递也是神速，价格比药店里便宜一半，生产日期非常新，很满意！
虫***c,star5,家里有小孩的，有时会病毒感染和感冒发烧，买回家里先备着，跟在医院开的药是一样的，日期非常新，物流也很快，包装严实不怕损坏
3***9,star5,日期很新鲜，活动入很划算。家有小娃，买点这个奥司他韦颗粒在家里备着比较安心。啥时候甲流啊新冠啊这种病毒才能消失啊，家长真的很头大啊。（这次小孩新冠阳，医生也让吃这个）
3***9,star5,家有小娃，买点这个奥司他韦颗粒在家里备着比较安心。啥时候甲流啊新冠啊这种病毒才能消失啊，家长真的很头大啊。（这次小孩新冠阳，医生也让吃这个）日期很新鲜。
独***6,star5,京东会员用了好几年了，有运费券，平时买药干啥很方便，买来备着 比实体店便宜的多，家里常备药?之一，京东买药真的很好，省钱省力 次日就可以拿到
H***M,star5,京东大药房很不错，买过很多次，跟实体店的一模一样，但价格比实体店便宜很多，京东快递小哥送货上门，服务态度超级棒?赞赞赞
u***x,star5,京东快递送货很快，****很方便，快递包装比较完整。宝贝质量不错，价格比较优惠。比超市便宜很多。尤其是****很好，驿站还要自己去拿，不好。
1***g,star5,不错不错不错 京东快递很给力 买来留着备用的听说很好使也不知道是不是真的好用 一直在京东买东西 京东自营店比较信得过 谢谢
j***i,star5,可威磷酸奥司他韦治疗流感非常有效，是我们家里的常备用药之一，这款颗粒药是专门给小朋友准备的。在京东大药房购买药物，日期都很新鲜，不用担心很快过期。
一***猫,star5,前段时间感冒买不到，现在可以稍微囤点货了，一点点就行，家庭常备药，有了很放心，质量病毒感染那是杠杠的，哦熬过很好很快呀。
孤***啸,star5,收到货品好长时间了，一直没时间评论。东西很多，价格便宜效果非常不错。这次买得真是物有所值。感冒治疗效果还可以，价格有点贵。
H***8,star3,流感多发季节，备着先，希望不要用上
z***f,star5,随着疫情全面放开，这个体温计可以说是家庭必备品了。这个品牌非常好，买了两只。放在家里备用，经常检测一下家里老人小孩体温，有备无患，无汞的设计，更放心
j***m,star5,流感特效药  感觉效果确实可以 家里有小孩子的可以当做常用要备着 京东正品 值得信赖 物流也很快 家中药盒常备  没有了就来补充
豪***贝,star5,第二次从京东买这个药了，一轮一轮的病毒没完没了，真的很急人。京东大药房卖的比从店里卖的便宜点，药品是一样的，哪便宜方便就从哪买了，
橡***-,star5,磷酸奥斯他伟颗粒医院开的才知道这个药，感觉对治疗发烧非常好用，特别是甲流之类的病毒性感染，所以这次买了几盒进行放在家里，随时可以用。
C***p,star5,包装很好，京东物流很快，送货上门，比实体药店便宜很多，甲流盛行，幼儿园小朋友传染性比较强，囤货用，京东药店值得信赖，希望多搞活动
吸***J,star5,自从阳了之后家里一直备着这个药，治疗病毒性的感冒很有效果，大人孩子都能吃！而且赶上618的活动！价格很给力！一次性买了3盒，保质期到2025年，有备无患！
