https://item.yiyaojd.com/2943430.html,以岭0.35g*24粒/盒,2943430,27.00g,中国大陆,205020021,胶囊剂,国产,成人,中成药,口服,其他
用户名,评分,评论
刘***利,star5,这个药效果让人上瘾，太舒服了，喝完感觉肺很凉，呼气吸气都是凉的，特别舒服，效果可以说是立杆见影，买了好几盒，刚好有些咳嗽，按说明书吃药，一周左右就吃完了，每次吃完都好舒服。
刘***利,star5,喝完感觉肺部特别的凉，对这种感觉有些上瘾，一次喝四粒，见效很快，后面又回购了三次，始终不能根冶，治标挺有用的，大热天的喝完这个，出气都是凉的，就很神奇。
高***渣,star5,价格非常美丽 ，经济实惠。      比线下药店便宜很多 京东物流也是相当给力 快递小哥配送速度也相当的快。 活动价格很实惠
唯***7,star5,莲花清瘟胶囊真的很好用，特别是充好了药，你用鼻子一闻鼻子瞬间通气，他对感冒和流行性感冒感觉效果真是太好了，特别是这个颗粒，感觉比胶囊还要效果好买的经常备用
美***呦,star5,唉，也不知道怎么回事，一不小心阳了。赶紧下单了几包药，很快了，买了2天就送到了，用了***，便宜了好多，差不多一周好的，还有一盒没吃呢，放起来了。
指***人,star5,跟我在实体店买的一模一样！还是一样的好用，开心是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！便宜又实惠，买了好多，宝贝一如既往的好?，性价比非常高，大品牌值得信赖?
R***i,star5,现在家里都是必不可缺少的东西，这个连花清瘟胶囊，对于感冒发烧上火，头痛都有很好的效果，而且在网上买了特别的方便。、质量很好，完全符合卖家对商品的描述，非常满意。、店主服务态度很好，很有耐心，包的质量超乎想象，物有所值，这次我用过后才评价，真得不错，值得推广。从那时起，购买日用品时首先想到的就是京东，它是真正的。出乎我的意料。经济、便宜、质量非常好，与卖方描述的完全一样。
贾***i,star5,京东物流非常快，基本上隔天就到了，快递员服务也不错，整个服务都比较满意。东西也都是正品，家里东西基本都是这里买。节日活动力度比较大，以后还会经常购买！
j***2,star5,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，快递公司服务态度很好，运送速度很快，第二天早上就到了，又是很满意的一次购物，省时省力省钱省心！"
y***r,star5,不错，有效果，棒棒哒，清瘟解毒，石家庄以岭药业股份有限公司生产的，多次购买，感觉不错，活动价购买的，划算，价廉物美，好评。
唐***z,star5,都是在京东买的，也很方便，价格是比实体店贵点，但是日期比较新，看起来还是不错，永远支持京东，希望京东越来越好。
j***u,star5,性价比高，发货迅速。给单位买的备用药，家里也备了一些。京东药房的药，日期比较新，价格比实体店要实惠很多，虽然可以刷医保，但是这样脱离药品实际价值太多的虚高，仍然让人感觉不爽。阳毒肆虐时，买都买不到这种药，适当囤些安心。
思***女,star5,清热解毒常备药 平时感冒发烧吃点这个药好的也快 比药店便宜很多也放心是正品 多囤点药可以做到有备无患
