https://item.yiyaojd.com/3026797.html,美林100毫升,3026797,10.00g,中国大陆,西药,混悬剂,儿童,口服,国产
用户名,评分,评论
小***1,star5,大人小孩都能喝，味道甜甜的。羊过以后家里都备上了大瓶装，以备不时之需，虽然最好到过期都不要用到它！不当妈的时候都是硬抗，现在有了娃自己的身体也很重要。
Z***Y,star5,小瓶装更加卫生和省心，不怕开盖太久而药品失效，生产日期也很新鲜，有时候去药店还没这么新，总体上就是好评好评，买来家里备用。
傻***子,star5,由于疫情的后遗症 我们镇上的药店到现在都没有美林 我打开京东大药房一搜就有 最关键的到货速度真的是无与伦比 快的一塌糊涂 价格实惠 物流给力 给你点个赞 信赖京东！
u***7,star5,家里的常备药品之一，堪称神药。宝宝发烧后吃了就解决问题了。京东物流很给力。直接送货上门。上午下单下午就到。堪称神速。值得推荐给朋友。
吴***滋,star5,京东的品质，物流真的没话说！特别喜欢这速度！而且性价比也高，做活动时候价格也真心合适！一直是会员，福利也合适！东西也不错！
j***T,star5,之前没买，家里有宝宝后才备着这个，想起疫情期间，想买一瓶，所有购物平台都没有，现在到处都是，物流迅速，质量有保证，非常满意。
j***a,star5,买来备用的，日期很新鲜，刚好有活动，就买一盒，小盒的便于存放，价格也很优惠，比我在药店买的便宜一点，京东快递一直很省心，赞赞赞！
L***5,star5,春夏转换，晚上吹空调容易把宝宝吹的太凉了，导致身体不舒服。这款退烧药也算是家中常备，万一有需要可以随时派上用场。除了孩子可以用，其实大人也可以用的，当时家里备的有这个，在疫情的时候起了很大作用。价格也不贵，性价比挺高。京东快递送货也挺快的，好评！
s***碧,star5,家里有两位小盆友，退烧药这些常备药家里一直没断过，过期就清理掉，清理完再重新添置。一直保证家里都有这些物资。京东大药房性价比高，快递也方便，很喜欢在上面备药
1***宝,star5,家里有孩子一定要常备一盒，免得着急的时候买着费劲，日期特别好，发货速度快，包装特别好，配送员态度也特别好，放心入手吧，值得购买
W***眉,star5,家里有小孩的、美林是常备药、不管用不用得上、家里也得备几瓶。日期非常新、保质期到2026年、京东买药很安心、大品牌、小包装、方便
j***m,star5,这个打败新冠的退烧神药 他真的太好了 这次娃生病发烧了  立马在京东买了这个美林  质量正品有保证  效果非常好 退烧效果持久  最长可以维持6个小时  副作用很少  适合小孩用
g***B,star5,第二次购买了！备用的！一直用这个牌子！比较安全，发热的时候给孩子吃上一点！出汗就退烧了！京东物流很快！快快快赞赞赞，一天到达目的地的！
u***g,star5,东西很好很有效，大人喝起来也很有效果，而且小瓶子的用起来也不浪费，蛮好的，小巧玲珑，每次一瓶差不多烧能退下去了，蛮好的。
a***r,star5,美林是非常好的宝宝退热药，和泰诺林搭配着吃，效果更佳。口味也非常好的，宝宝也愿意喝，就是用量需要注意，不要超过说明书和医生要求。
普***7,star5,家中常备小儿退烧药，大品牌，小包装，买来备着，非常好，趁着价格实惠，又买了2盒，日期也非常新，能放好长时间，一直在京东大药房买药，越来越好了
j***%,star5,线下实体店好多都没有，遂在网上四处搜寻，发现目标果断出击。京东的药房仓库可以灵活调配药品，满足使用需求。非常赞一个京东的配送，质量有保障，配送速度快。
j***3,star3,没有美林效果好
R***L,star5,因为家里有孩子，所以都会备一些感冒发烧拉肚子的药，在他家买了第二次了。保质期也很好，快递物流也很好，没有暴力物流，总体来说都不错。
蓉***8,star5,日期好 包装很到位 应该是正品 比实体店买的便宜 还省心 京东买东西就是好 值得信赖 售后服务还相当的好 真心很满意啊。
F***儿,star5,美林的退烧药，对于宝宝来说退烧不错的，我家里一直都是备着的，夏天的话开瓶后都是放冰箱的，京东购物非常方便隔天就到了，希望所有宝宝不要再发烧了
j***i,star5,有孩子家庭的常备药品，起效快，有点甜味，孩子不会拒口，京东上比药店便宜多了，而且京东大药房保证正品，送货速度也是杠杠的快！
j***g,star5,老品牌美林退热药，在京东购买方便便宜，孩子容易接受的味道，效果也是很好的，已经都在京东多次购买了，京东大药房值得信赖的。
是***呀,star5,很好日期新鲜，价格划算，医院现在都不开美林的牌子，这个牌子有很久很久的历史了，还是比较信任，降温效果显著，下次最好买小瓶的分装更好，但是希望以后不会用上，哈哈哈
田***0,star5,这个一定要选好儿童还是婴儿 用量根据说明书来，这次是囤货没开封，一直用不上也很好。 之前用泰诺林效果还是不错的 ，这款是给儿童的
C***2,star5,一定要选好儿童还是婴儿  用量根据说明书来，这次是囤货没开封，一直用不上也很好。 之前用泰诺林效果还是不错的 ，这款是给儿童的
紫***娘,star5,京东买孩子的退烧药很方便，美林应该是每个有宝宝家庭的必备品了，而且小瓶的真心推荐，因为大瓶打开时间久了容易浪费，小瓶反而方便，药效也好。推荐。
j***n,star5,现在买药基本上也是首选京东了，有些东西会比其他的平台便宜一点，而且还能送货上门，真的是方便了很多，这次买的日期很新，很满意
o***o,star5,家里常备药，医院开的牌子都不是美林，美林退烧效果还可以，希望永远都用不到网上买的，比药店便宜很多！日期也很新！！！！！！！！
崔***y,star5,好用，喝完了不一会就退烧了大瓶买了喝不完浪费，这次买的小瓶，产品质量很好，包装很好，发货快物流快，推荐大家购买，京东快递员服务好
u***n,star5,京东自营的东西已经买了很多次了！特别好，没有问题最主要的京东自营的东西多次购买，有问题售后都很及时！推荐购买。送货速度快
j***3,star5,美林小儿退烧药买过多次，家有宝宝的都离不开退烧药，京东商品质量很好，日期很新，不会买到近期或过期产品，而且京东物流速度很快，很给力，快递小哥服务态度非常好，很热情，很有责任心，很满意。
果***4,star5,京东自营的产品用起来很放心，而且快递送货很快，隔天就送到了，买东西首选京东自营！小瓶一次用不完扔了也不心疼，日常囤药备用！
J***7,star5,美林布洛芬混悬液，味道清新，味道淡淡的清香，不刺鼻小孩子比较喜欢喝，不过这个口味很香，孩子喜欢喝退热效果很好，真的很见效
z***k,star5,因有小孩家中常备的美林布洛芬混悬液，上次在京东购买的快用完了，这次一次性又下单了2瓶100ml规格的，京东自营的送达速度就是快，当天下单次日送达，非常好！
s***0,star5,小瓶装更加卫生和省心，不怕开盖太久而药品失效，生产日期也很新鲜，家有小孩的，美林是必备药了，退烧效果非常好。
j***e,star5,每次都要买好多瓶，家里有宝宝要无时无刻都备着药，宝宝经常爱发烧，美林喝着放心，大品牌，首选美林，品质有保障，希望多多做活动，很好的药物
大***大,star5,整体来说，还是很好的，非常值得再次回购材质很好，质量也不错，到货也很快宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
简***E,star5,2.正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说好。客服服务热情都到。物流很给力3.包装很好，快递给力，卖家很有信誉，发货速度也很快。价格更是比别家的实惠多了家里有小孩的必备品
燕***崽,star5,一直用着这个品牌，家有小孩必备，发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
燕***崽,star5,家中有小孩常备，回购多次了，是正品，跟医院买的一样，而且价格不贵，用着也很有效，一直在用，物流也很快，第二天就到了，很好??
大***步,star5,有小孩的家中常备药，效果很不错，日期还是很新鲜的，京东大药房买的很放心，退烧效果很好，现在价格也很划算，先囤着有备无患。
马***俊,star5,东西非常喜欢，好用！大牌子用着也放心，就是有点小贵了吧！但是还是买了，因为非常喜欢！质量非常好！值得推荐购买一下！自己非常喜欢！
流***g,star3,一般
t***8,star5,家里有小孩，这个是必备药，非常好用，疫情的时候缺货，现在家里备点以防万一，起效快，没什么副作用，味道也好，小孩不排斥，非常好用。
恬***活,star5,这个美林退烧药很好，给小孩子生病发烧，总是在用这个药，现在上京东买药也很方便，送货上门很快捷。价钱也比外面的药房更实惠！
a***r,star5,平常给自己家里的小宝贝准备的疾病常用药，有备无患，避免需要的时候手忙脚乱，到处匆匆地摸着找药，省事、安心。京东大药房官方质量有保障，关键就是在京东物流速度就是快。！京东大药房里的药很全，买起来很方便，价格也很实惠，当天晚上下单，第二天早上就能收到货，非常快！家里常备的药品之一。。
U***M,star5,是正品，而且提供验货，且日期是最新的，非常好，现在药店依旧买不到，感谢京东啊，能够让我们在这个关键时刻买到平价布洛芬，真的非常感谢。京东平台太好了，感谢感谢！
g***8,star5,包装很好，日期也是新的，小瓶设计更实用，不浪费。退烧效果很好，宝宝二阳之后，两天就退烧了。晚上下单，第二天就收到了，大爱京东。
凡***阿,star5,经常在网上买 给宝宝备用 小瓶子 一次喝不完也不浪费太多京东很快 也不耽误事 宝妈们要常备退烧药啊
w***y,star5,小孩子生病了之后喂药很困难，不配合是常事，很难搞。这个美林自带一个吸管，容易插入娃的嘴巴喂进去，方便了很多，这个设计很不错。买回来之后已经用过了一次，我把纸壳都撕了。
出***海,star5,京东品质一如既往的好，发货速度非常快，物流也方便，下单第二天就收到货了。商品质量很好，性价比高，下次还会买，推荐购买。
j***4,star5,突然发烧在药店买了一瓶太贵了于是还是上京东再买一瓶备用着，京东大药房的放心买值得信赖。物流也很快很及时，第二天就到货了。
小***乖,star5,家里药箱必备药，还是一如既往的好用，yyds，产品质量合格以及正品还是很重要的！还是到网上买东西实惠很满意！很满意的一次购物！
小***乖,star5,家里药箱必备药之一，还是一如既往的好用，yyds，产品质量合格以及正品还是很重要的！还是到网上买东西实惠很满意！很满意的一次购物！
w***d,star5,东西比我想象中的还要及时，十分给力，值得入手包装非常结实，东西保护得很好，值得好评东西很满意哦，客服超级有耐心，服务细致贴心，大品牌就是不一样
2***7,star5,这个美林布洛芬混悬液绝对是家中必备！孩子大人发烧都好使，对我来说治偏头疼更好使，比其他的布洛芬胶囊好使，喝了一个小时必然见效，整个神清气爽了！
j***y,star5,家里一直备着这个，挺不错的，比线下便宜很多，质量也不错，早上下单，下午就到了，直接送上门，很方便，越来越喜欢在京东买东西了，哈哈
小***卡,star5,发货非常快，包装也完好无损，很结实，一直信赖京东，无论是问诊还是买药，都非常快，京东铁粉一枚～之前娃一直发烧，心塞塞～
j***9,star5,京东的物流很给力，购买后次日就到，快捷方便，价格很优惠，性价比高，日期很新鲜，还有短信提醒使用方法，可以放心购买和使用哦。
包***家,star5,家有小儿必备药品，但是还是希望不要用上。效期到2026.2月份。京东快递送货也很快，有需要的商品还是会选择京东自营，快递真的给力
c***g,star5,京东快递送货又快又好东西，价格也非常的合适，这种药作为日常必备还是要买一些，京东快递能够送货上门，而且非常及时，值得推荐和购买
不***三,star5,小小一瓶，特别适合外出旅游携带，预防突发情况，孩子发烧长期用这个牌子，x效果非常好，一般喝两次就痊愈，还很好入口，孩子喜欢
圣***长,star5,现在新冠放开了，家里面必须常备退烧药了，这个牌子的值得信任，药效杠杠滴！再就是搞活动的时候买的，特别划算。而且包装得很严实，不会轻易损坏。
王***7,star3,挺好的。。。。？。。？
木***1,star5,非常满意的一次购物，产品质量很好，京东自营购买的，正品保证，速度一如既往的快，售后服务好，会推荐给身边的朋友的购买的！！
灬***灬,star5,家有儿女家中常备药，不接受反驳，安全退热快，京东买药经济实惠，比线下便宜的多，而且送货很快，基本上都是当天送到，送货上门很赞。
j***r,star5,家里有小孩的都离不开退烧药，质量好，物超所值，真的是物有所值，价格实惠，质量真的不错，与卖家描述的完全一致，收到的时候包装完整，包裹的严严实实没有任何破损，品质依旧，客服服务态度很好，详细的解答了我的问题，卖家很好，对这次购物非常满意，如有需要会回购！！
w***e,star5,京东大药房买的，非常贴心，东西正品，家中有小孩的适合常备，很安心。现在医院人多且贵，时间且长，所以家中常备，很是方便，省心！
皇***啊,star5,买来备用的，家里有小朋友以后这个药就不敢断掉，小瓶装的很方便，不害怕打开之后要过期，京东买的东西质量有保证买的放心，孩子吃着也安心
唯***一,star5,不错。上午买的，下午就到，京东快递真的快。特意买了小瓶的退烧药。三瓶放家里备用。包装也很好。其实也很近很近。经常再京东买药品
b***y,star5,近段时间第二次购买了，孩子病一次，一下就喝掉两瓶，实在是难搞，所以家中常备真的很重要，说不准哪天就需要用上了，不可以大意啊～
j***8,star5,家里有宝宝的必须常备退烧药，选来选去还是相信大品牌的质量，美琳的布洛芬混悬液退烧效果非常好，味道也不错，我家宝贝喜欢喝这个味道，京东自营质量有保障，快递也很快，值得购买！
j***l,star5,综合比较下来选了这款，包装也很好，外观也没有破损，京东快递快递要赞一个，特别快，省的有等快递的痛苦，打开后看起来还不错，这款感觉品牌上来说还是不错的
问***答,star5,对于小月龄宝宝来说，发烧是最危险的，当下新冠疫情，手足口，流感等各种疾病，都离不开发烧，这款药最大的好处是安全，当然实在安全用量的前提下，退烧作用也因人而异
j***7,star5,布洛芬美林是家庭有孩子的常备退烧药，尤其是高烧不退的症状，宝宝喝了退烧很快，很适合极速退烧，药效很好，很显著，有孩子的家庭一定要常备。
啊***拜,star5,京东上买药送货快，京东自营，值得信赖，正品保证，在京东上买过很多次药了，一直很相信京东的品质，这个药也买过很多次，效果很好，儿童年龄段分量，写的很清楚，很不错。。
s***9,star5,美林有孩子家中常备药之一 发烧就得吃美林才管用 最近孩子总是发烧感冒 买一瓶在屯着吧 京东大药房买药很方便 送货快 价格有相对合适
王***n,star5,京东自营物流速度就是快，隔天就收到货，商品包装完好，药效很好，38.5度以上喝一剂量，温度马上就降下来，家庭必备药品，还会回购。
j***0,star5,总体来说，确实很不错，客服的服务态度也很棒，美林是放在家里备用的，有时候小孩子发烧，预防用的。网上买和实体店的一样。也是正品。
j***1,star5,发货很快，已经收到货了，布洛芬宝宝发烧就得用，效果很快，看京东正在做活动屯着备用，量也足，正好够用，在这里买还是很放心的，好评！
洲***咪,star5,家里常备要药，家里2个小孩一直有备一些美林，退热效果非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
j***瑾,star5,我这是618京东年中大促活动的时候买的，京东真的是多快好省，物美价廉，给老百姓提供了一个良好的购物平台，购买的物品质量没话说，都是杠杠的好，需要的小伙伴赶紧入手吧
l***8,star5,这个药是我冰箱里的常备药，上次清理冰箱剩点被丢了，马上又下单了给冰箱补给上，家里有孩子的最怕突发状况家里没药的，这个牌子的效果很好很好用
伱***吧,star5,宝贝收到了，小瓶特别好，开封最好过一个月就不用了，不过可以给大人喝，每次腰疼肚子疼都是喝这个，京东物流依然是很好，速度块，正品，好评
D***哈,star5,家中常备药，发烧到38.5以上用，效果很好。儿童发烧，用这个美林。    希望用不上，备着总不会错的。祝所有宝宝健康成长。
j***v,star5,买来备家里用，等到下半年流感季，或者疫情又开始的时候再买就不好买了，京东特别方便，家里小孩必须常备。真的是太好了，特别方便
z***3,star5,京东商城自营药店购买质量值得信赖的品牌。京东自营发货速度最快最有效使用。京东快递送货****态度不错。这是一次非常感谢大家。
整***了,star5,家中有宝必备药品，活动价到手每瓶22很划算。夏天到了空调房出来一冷一热，宝宝容易着凉。美林的日期也很新鲜，希望一直用不到它们。
我***q,star5,家里有小宝宝那就是会备这这些药品比平时要便宜，囤了不少，特别特别满意。很客气，良心商家，支持！！！！！！！！！！！！！！！
l***2,star5,1.价格很优惠，算下来还是挺划算的；2.送货速度很快，京东买东西还是很放心的；3.质量还是很不错的，很实用，值得推荐入手购买。
琴***2,star5,买了房家里备着，新冠太可怕了，安全为上质量不错日期新鲜，可以放好久京东上买东西就是让人放心下次如果用完，还会来这里购买，物美价廉
j***h,star5,很不错 比那个店里卖的划算多了 买的多了 是有优惠的 比在店里划算多了 以后还会经常买 主要是囤起来了 害怕用到了没有 继续?
q***s,star5,大品牌值得信赖，买药就喜欢买牌子的，虽然贵一点，但相信品牌的价值，美林家里有小孩的必备品，京东物流很快很喜欢在京东上买东西！！
j***0,star5,嗯，配送速度快，京东自营的质量有保证，买的比较放心，品种齐全，购买方便，送货速度很快，价格优惠。京东老顾客了，每年都消费几万块钱。
j***1,star5,美林布洛芬，儿童专用的退烧药，味道甜甜的，孩子不抵触，起效非常快，基本上一个小时以内就可以退烧，新冠流感必备退烧药，好评
小***乖,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……真的超级喜欢，质量非常好，与卖家描述的一致！材质很好，质量也不错，到货也很快一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?
大***s,star5,美林 退烧神药 婴幼儿家中必备药 用了也很有效果 日期也很新鲜 感觉退高烧还是得美林比较有效果 其它好像效果都没那么好
沉***蓉,star5,发货很快，京东大药房还是很值得信任的，包装完好，生产日期比较新，比在药店里买方便多了，家里俩孩子，家里常备两瓶，孩子发烧真是太频繁了，必备药物。
j***J,star5,货物发货很快，包装也很完好，价格还算合适。第二天就收到了，这款效果挺好的，医生也推荐。感冒发烧药家里还是需要备一点，有备无患。
j***4,star5,孩子发烧了，家里还有一瓶，所以赶紧又买一个备着。京东送货很快，很方便，省去自己买的时间了。京东大药房也有保障，还写了注意事项。
c***s,star5,上次买到这么好用的东西还是上次！宝贝真不错，做的真细心，值得拥有，快递很快宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??
l***h,star5,家里有两个小娃，大的在幼儿园，经常会感冒 发烧，家中常备，以备不时之需，效果很好，每次娃发烧吃这个很快退烧，小瓶装更加卫生
j***o,star5,儿童感冒发烧这款美林布洛芬混悬液退热效果特别好，家里常备药之一，京东大药房正品有保证，家里常备药都在京东大药房购买，支持京东！
小***园,star5,物流非常快，隔天就到了，正好用上了，效果特别好，喝上没一会儿就退烧了，甜甜的宝宝也非常爱喝，背面有挤量表，按照挤量表喝就好了，非常方便
j***c,star5,京东平台上买东西，太快了，美林这款小儿退热悬浮液效果很好，宝宝喝了两次就好了，在京东买既方便放心，太便利了，今天拍单子，明天早早就收到货了，京东越来越完善
刚***2,star5,必须要说一说京东大药房自营的药品，发货速度也是非常的不错！基本上是当天发货，第二天上午就到了。本地仓发货真是非常的快！价格也比实体店便宜不少
l***a,star5,去年买这些药那是相当困难呀！价格高也就算了，还抢不到。经历了第一波冲击后，要买些药以备不时之需。现在购买方便多了，价格也下来了，方便快捷。
_***s,star5,大品牌值得信赖，家里孩子就是喜欢这个味道的，其他味道的一点都不吃，就趁着机会，多买了一些，这种东西家里常备还是很有必要的。
石***石,star5,给孩子买的，这个是家中必备产品。以防不时之需。老牌子，每家每户有孩子的都要备上。京东买的发货很快，没两天就到了。选择京东也放心。值得购买。
y***g,star5,这个还算不错的，哈哈哈，在京东买东西还是很不错的，速度很快，物流也很给力，以后还是会继续购买的，很不错的一次网络购物体验，加油
x***7,star5,上个月刚好妹妹发烧了，之前购买的只剩下半瓶了，担心不够京东下单，很快就回来了，速度相当给力。美林家庭必备的药品，效果也确实比同类药品药效要好很多。点赞
L***y,star5,家中常备药?有小孩子就难免生病，发烧咳嗽的药都很好用，一直回购回购，京东物流很快，家中常备家中常备药?家中常备药?家中常备药?
j***方,star5,效果很好，价格非常实惠，比在正常药店购买便宜的多，一般我会在家里备一些这种家庭常用药用来以防万一，总之除了需要提前买这个缺点外，基本在京东买是最合适的
u***5,star5,家里有两个宝，使用起来非常快，且这个拆封后一段时间就没有用了，一直在京豆上购买，疫情严重期间也只有京豆上可以买到，价格实惠，送货速度快
j***m,star5,京东上购药很是方便的 618活动期间和其他东西一起购买还是比较划算的了 东西质量看起来也很不错的吧 物流包装也还可以的了……
叫***好,star5,美林的布洛芬一直是家里常备药，小孩发烧喝后效果很好，一般半小时就退烧了，并且味道甜的，小孩也愿意喝。现在各种病毒太多了，家中常备是必须的。
阿***茨,star5,非常时期的家庭储备用药啊，备着放心，这款药看起来很安全，京东买东西很放心，品质有保证，发货也比较快了，日期还可以，放一阵子的吧
X***4,star5,一直在京东大药房购买布洛芬混悬液，是正品，比药店便宜很多，搞活动入手的三瓶，很划算，京东物流也很方便，一天就到货了，支持购买！
M***6,star5,刚好用上了，送货很快，药品也包装很好，没有任何问题，美林应该是大家都认可的品牌吧！大家都放心，小容量比较友好，不浪费，不然都浪费了
枫***囹,star5,很好的产品，一直会回购，有备无患，小孩子生病避免不了高烧感冒的，一定会用到这个的，背着小瓶大瓶的，免得一瓶难求，药效挺好的
喝***了,star5,家里有小宝宝就买来备用了，美林大品牌很放心购买。京东自营也很放心，还有医师帮忙解答问题！家里有小宝宝就买来备用了，美林大品牌很放心购买。京东自营也很放心，还有医师帮忙解答问题！
青***8,star5,宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖
小***_,star5,家中常备药，间隔4小时，小孩发烧医生也是说可以在家吃美林，30毫升刚好，开封就放了冰箱，半年药效，按体重比例吃，医嘱也很清晰明了，也会发短信过来叮嘱药量
俩***-,star5,孩子发烧一直在用美林，效果特别好，孩子生病最闹心的是妈妈，每晚不睡看着的也是妈妈，所以这个药家里都得备着的，下单后隔天就到，赞
迷***途,star5,发烧必备！家里有小孩必备！没有婴幼儿专属的，但是幼儿可以使用！少量计量就可以的！大品牌值得信赖！京东物流值得信赖！速度很快冲冲啊
j***y,star5,家里有小孩，必备一点退烧药，买完退烧贴又来买退烧药。宝贝发货很快当天买，隔天就到。好大一瓶，跟我之前在实体店买的一样，而且日期非常新鲜，真的很不错哦！
你***啊,star5,京东送货非常的快，这是我最喜欢的地方，这是我买过很多次，以前在药店都买不到的货，现在经常备着，要比较好一些。要是有小分量的就好啦！
我***啦,star5,日期还是很好的啊，都是今年制造的日期。这个药不多说，退热方面的神药哈，用过的都知道，小孩子必备的药品之一。买了给宝宝预备的
天***a,star5,物流很快，家里有小宝宝，这个肯定是必备药，最近太多人感冒发烧弄的家长特别焦虑，还是要常备这种药以备不时之需，孩子最近鼻塞，赶紧买来囤着
未***空,star5,京东药房一直信赖，价格实惠，东西正品，送货上门很快很方便。美林老牌退热药，家庭常备药，孩子退热安全有效，有备无患，可以安心。
1***0,star5,太棒了，特殊时期竟然抢到了卖家的平价美林布洛芬，家里有孩子的这下心里就踏实很多了，日期非常新鲜，不用担心过期，家中常备药品
t***9,star5,一直都是回购这款，值得一直购买的质量，很棒。质量非常好，值得信赖，值得入手，值得购买，可以可以。保质期很久，不错不错。。
