https://item.jd.com/100002611173.html,耐克AR5007,100002611173,150.00g,以实物为准,AR5007-011,棉,短袖,夏季,2023年夏季,圆领,常规型,无弹,透气,男
用户名,评分,评论
孙***8,star5,纯棉，穿在身上很舒服，值得购买。调货商品物流都这么快，买品牌还得认准京东，值得信赖，是正品，已经在他家购买过多次了。非常给力。
就***廉,star5,图片相符，没有差异，真的是物美价廉！质量非常不错！第一次买尺码很合适！!！试穿后才来评价的，穿的很舒服！衣服质感不错!！下次还会再来的！
不***一,star5,面料材质：这款衣服的面值材料真的很好，很舒服，很贴身！上身效果：这款衣服的上身效果也很修身，蛮好的！舒适程度：舒适程度还行，对得起这个价格！吸汗效果：西汉效果也还可以！
j***y,star5,衣服很好，很舒服，给爸爸买的很喜欢，非常漂亮，推荐给大家，价格也很合适。。。纯棉的衣服很舒服很好。。
1***p,star5,衣服的面料很柔软手感舒服  穿了几次洗了还不掉颜色   不起球不变形    穿上后很凉快很轻薄  没有束缚感   个人认为比实体店买好
j***5,star5,衣服非常好，价格优惠，穿在身上，感觉是棉的，衣服质量没话说，大logo很结实，穿着很好看，洗了几次没有缩水，本人120斤，身高1.8买的L刚好合身。京东快递送货上门，服务好，物流快点赞
n***i,star5,Nike的衣服穿起来很舒服，全棉材质，透气，非常适合夏天穿着，设计的版型也非常适合，不大不小，刚刚好，价格比一般的T恤衫贵一点，京东搞活动的时候入手还是很划算
c***i,star5,衣服是不错很薄，很轻，很透气。就是洗的有点褪色。，简单又好手，版型很好。按平时穿的来，这次618活动不错'，喜欢的可以入手。
j***G,star5,价格合适，衣服出了点问题，京东客服给解决了，态度很好，速度很快，自营的就是好，面料轻薄透气舒适，老爸穿着溜娃凉快些，五星好评赞
张***佩,star5,包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??款式很大方，质量非常好，价钱也很合理物流和产品都不错，性价比高，赞赞赞???
b***2,star5,趁着京东618活动，价格优惠，穿着非常舒适！衣服版型很好，透气轻薄，京东自营平台购买让人放心，不怕买到假货，售后有保障！京东物流一如既往地快！孩子非常喜欢！很愉快的一次购物体验！五星好评！喜欢的小伙伴可以入手了！
半***6,star5,不错不错，正好公司的项目获奖，需要购买一些礼品奖励团队。思来想去，买点品牌的运动鞋来发给大家。大家表示挺好的，非常开心！！
j***0,star5,东西很好，很喜欢，材质也很舒服，很喜欢，价格也很很很很很便宜，黑色的穿上去夏天也感觉比较遮肉感谢京东，为了多写几个字也是很难的
益***益,star5,非常不错，已经洗过了，没有发现掉色的颜色很好，是正品，穿着很舒服，纯棉的面料还是比较亲肤的，很不错，京东自营的品质还是很有保证党，可以放心
L***e,star5,当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手面料材质：不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！上身效果：绝对是最开心的一次购物，店家服务态度很好，售后也是舒适程度：包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??
买***3,star5,我真的非常喜欢它，非常支持它，质量非常好，和卖家描述的一模一样，我非常满意，我真的很喜欢它，它完全超出了我的预期，发货速度非常快，包装非常仔细和紧凑，物流公司的服务态度非常好，发货速度非常快，我对购物非常满意。
康***下,star5,颜色亮丽，小孩喜欢！上身效果：年轻有活力，适合青少年舒适程度：颜色鲜艳，穿着舒适面料材质：全棉材质，轻薄透气，估计洗过后会有变形吸汗效果：吸汗透气，适合所夏天穿着
s***9,star3,真的就是牌子值钱了，不推荐
w***l,star5,耐克纯棉短袖T恤，经典运动款，厚度适中，适合当季穿着，衣服合体，穿着舒适，价格比实体店便宜快一半，京东自营旗舰店，品质放心，送货速度快。
P***生,star5,不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！做工稍微有点瑕疵，不过也还算可以接受，好评！
c***0,star5,快递很不错，本以为周末收不到衣服，结果周六一早就开始配送，上午就取到了快递。物流会提前打电话通知取快递。包装完好，版型没有问题，跟店里的一致。
豪***风,star5,纯棉T桖，做工和质量都不错，LOGO配想做就做很大气。京东自营，发货快，自己物流?送货及时，但是价格稍贵，对比一下，还是有降价空间。
夜***玉,star5,不错不错，颜色很正，上身效果很好，目前还没有这个色的衣服，这样搭配更方便了，趁着618，赶紧屯点货，一年也就买这一次，是吧
烟***荷,star5,京东商城上买发货速度很快，不耽误穿，这款是薄款纯棉T恤，夏季穿很凉快也吸汗，颜色好看身高1.74，体重130，大小正合适。
李***8,star5,不错不错，京东自营值得信赖，推荐购买哦，正品配送很快售后服务也很好，以后还回来京东自营购物的，相信京东自营的质量，超级超级棒。
寒***秦,star5,耐克的东西没毛病，价格也很感人，但是穿出去带感，希望夏天的时候能出更多的新款，还要买买买，最喜欢的就是那个大大的钩子，是耐克的灵魂。
j***7,star5,面料材质：棉，柔软亲肤上身效果：休闲简约舒适程度：柔软舒适吸汗效果：棉质透气吸汗京东物流给力，方便快捷，购物首选京东，不错的T恤，棉质透气，赶上活动价格很实惠，会继续回购。
s***_,star5,绿色的颜色很青春活力 整个人穿着很显得年轻 整体不错 面料比较柔软 不算太有型 不算硬挺  物流很方便 包装完好 推荐购买
布***9,star5,衣服收到了，试了一下，大小正合适，做工精细，质量不错，面料柔软细腻，不起毛，不掉色，是正品货，穿起来很舒服，京东自营产品，质量绝对有保证，经常在京东上买衣服，质量和专卖店一样，都是正品，京东上面的衣服比专卖店款式要多很多，价格比专卖店还要便宜一些，因为专卖店要交房租啊，人工费啊等等，羊毛出在羊身上，所以说专卖店衣服贵一些很正常，东西是一样的东西，价格要比网上贵很多，当然啦，网购也要选对好的平台，比如说京东，特别是京东自营的产品，质量绝对有保证，我在京东上买了8年多的时间了，还没发现假货，物流也很快，昨天晚上下的单，今天上午就收到了，快递小哥态度热情，风雨无阻，送货上门，很是感动，京东太棒了，支持京东。
e***y,star5,一下子买了两件，两件都不错，挺好看的，上身效果好，蓝色显肤色白舒服，纯棉的也很稀罕，适合各种体型的，大品牌值得信赖，做工非常好
c***1,star5,不错，试过了，柔软，合适。很不错，洗过了，不脱色。值得回购。
j***Z,star5,面料材质：纯棉材质，穿着非常非常的舒适！上身效果：非常好！不花里胡哨的，简单大方！舒适程度：非常非常的舒适！吸汗效果：非常非常的好！给学生买的，孩子很喜欢简单一点的图案效果！
可***n,star5,衣服送给男朋友的，他穿起来很好看，下次有需要再买，是理想中的产品?，质量不错，物流也很快，值得点赞！面料材质：面料材质：面料舒服，做工精细，没有多余线头，款式时尚，穿着很舒服。
j***b,star5,纯棉材质很舒服，合身，尺码也刚刚好，款式也很好
j***i,star5,正品真货，物美价廉，京东自营物品十分满意，穿上非常合适，布料纯棉，穿上很舒服。值得再次购买。
慕***0,star5,衣服都是穿着挺合身的，材料也非常的不错，物流也比较快！
叁***饰,star5,物流就不用说了，超级快，昨天晚上九点多拍的，今天就收到了。衣服质量不错，挺好的，穿的很舒服。毕竟是大牌子，质量就是好。好评，给?
耿***0,star5,身高185体重81公斤，XXL号刚好，京东自营好店，快递很快的啦，昨天下单，今天就到了，很舒服很透气，上身效果超级不错，真正的凉爽，非常满意的一次购物体验！
能***底,star5,面料材质：很软很舒服上身效果：感觉很好看舒适程度：舒服
j***a,star5,纯棉好，尺码标准175150xL刚好，至于起毛甩色以后再评，超值扺买
l***l,star3,还可以，质量有待验证。
W***0,star5,非常喜欢这种纯棉的衣服。很不错的哦。很合适的。
j***7,star5,宝贝完美，绝对是正品，穿在身上大小合适，舒适感特好。
h***4,star5,给外甥买的，穿着还很合身，京东自营物流发货很快
5***m,star5,质量不错，摸起来很舒服，快递也很快第二天就到了。
j***w,star5,正品，很合身，本人身高170，体重74公斤，穿xl码刚刚好，不大不小，非常感谢商家的推荐，京东快递真的是快。
j***1,star5,面料材质：很舒服，上身效果：身高170.体重72公斤，刚好合适，穿着很舒服，非常满意
j***H,star5,比较薄，很凉快，绿色也比较有活力
j***u,star5,质量很好的，大侄子穿上特精神，同款买了两件，一黑一白，本来想着二选一，结果哪个都舍不得退，都留下了，希望以后有更多的优惠活动！
丰***哥,star5,超级有质量感觉的一款T恤啊，我可是从夏天观望到秋天降价了才下单购买的哦……划算的不得了。我的合伙人也非常喜欢这款衣服。舒适
七***婚,star5,还可以，上身很舒服，价格不贵。
乡***三,star5,包装好，面料很舒服，做工精细，过水不掉色
j***y,star5,上身效果：刚好合适面料材质：，柔软细腻舒适程度：很好吸汗效果：很好
j***2,star5,帮朋友买的，穿的挺合适的，面料做工都挺好，朋友很喜欢。下次还会来买的，想买双耐克鞋。
q***u,star5,这衣服是给老公买的 早上买下午就到了 京东的速度真的没话说 太给力了 这衣服老公穿上很合身 价格也亲名
l***2,star5,宝贝收到了，试穿料子非常舒服，尺码标准，非常满意的一次购物
L***然,star5,穿起来很舒服，面料也很不错
小***吖,star5,衣服很帅，休闲穿起来，很舒服，东西很不错，很不错，给大家推荐哈哈。
W***0,star5,非常喜欢这款衣服。纯棉面料的。很舒服哦
5***者,star5,商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~
司***风,star5,面料材质：面料是纯棉的，很喜欢。上身效果：本身喜欢黑色，刚到还没有洗没穿，不知道什么效果舒适程度：纯棉的衣服，舒适度很不错的
苏***联,star3,物流还行，质量一般。
虎***门,star5,Just do it 买了两件，质量都非常的棒
心***8,star5,上身效果：不大不小，刚好合身，属于修身版面料材质：挺舒适的透气很好吸汗效果：还可以身材体型：尺码刚好舒适程度：面料很舒服，透气也好其他特色：双十一活动买的，穿了一次，现在才来追加评价，衣服还不错，尺寸面料舒适性都很好，必须点个赞?总的来说还是物有所值！一如既往的信赖京东！下次有活动还继续购买。
j***u,star5,面料很好，上身效果很棒，吸汗效果特好，儿子很喜欢。?
j***五,star5,买给初中生的外甥的，小朋友很喜欢，说穿上很帅气。确实显得皮肤白，运动感十足，整体设计、版型都还不错，没有什么大问题，值得推荐！
j***d,star5,很快就收到货，穿着很帅，面料很好，款式又新，很是满意
j***t,star5,面料柔软，做工精细，非常好。
林***6,star5,面料柔软舒适，款式简单大方。儿子穿上很帅，蓝色很趁肤色。
X***剑,star5,东西收到了，看着还行，大小也差不多，值得购买，很满意的一次购物
午***精,star5,感恩京东商城网购晒单的活动 麻麻喜欢 爸爸赞不绝口 妹妹赞不绝口 感恩 大小合适 大品牌值得信赖 感恩快递员很好 活动给力 没有瑕疵 对于京东的物流真的太佩服了 多快好省的购物理念 真的不是骗人的感恩专员的用心服务 辛苦啦 评价有京豆哦
飞***云,star5,蛮好的 薄薄的 穿着挺舒服 码也很正 点赞
王***8,star5,感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
岁***0,star5,好看 衣服很有型 作为t恤能有这效果 相当不错
君***水,star5,面料材质：很好吸汗效果：吸汗效果不太确定，应该不会有很好的吸汗效果上身效果：尺码很准180用xl正好舒适程度：很舒服，耐克的衣服一直都很好身材体型：中规中矩其他特色：物美价廉
盖***鋆,star5,面料材质：宝贝非常漂亮 和描述的一样 做工精致 款式漂亮 那到手就觉得很有质感，针织的既有分量，摸上去又柔软，在办公室里穿，同事都说好看，卖家服务非常好 耐心细致 包装非常讲究 不愧是品牌呀 还会在来的 物流也很给力 谢谢了 好评！
j***i,star5,宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖
北***白,star5,大小合适，质量不错，京东的服务很给力，推荐购买！
j***2,star5,穿起来很舒服，推荐购买。。。。
清***D,star5,很喜欢的一款耐克短袖，质感很轻薄，面料很舒服，很满意的一次购物
降***s,star5,运输很快，衣服很轻薄，夏天穿在身上很舒服。
u***b,star5,面料材质：手感好，和图片上一样舒适程度：很舒服身材体型：修身不错
C***桥,star5,趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞！
j***n,star5,连着买了三个T恤，很喜欢纯棉吸汗透气很舒服，相信京东自营值得购买
j***v,star5,货已收到，非常满意。绝对正品。
刘***3,star5,快递小哥很好，送快递途中惊心动魄，还是送到手了，给快递小哥点赞！！
j***w,star5,宝贝收到，非常好，面料柔软.穿着舒适，感谢商家，
人***客,star5,穿着非常舒服，看做工就知道是正品
E***0,star5,面料比较舒服，衣服很柔软，183穿XL刚好
小***高,star5,还不错，质量挺好的啊，很满意，给五星好评啊！
j***9,star5,很舒服，质量很好，上身看起来很清新
j***g,star5,怕买到假货，收到货后放心了，东西品质不错很好，应该是正品，物流很快快递小哥也很好？
j***u,star5,衣服收到了，儿子很喜欢呢！很舒服很柔软
远***3,star5,衣服收到了，质量非常好，颜色样式也好看，穿上很舒服，值得购买！
天***-,star5,面料穿上很舒服和实体店试的一样款式很喜欢京东物流速度就是快，信赖京东很满意的购物
W***8,star5,耐克的体恤衫设计风格运动时尚，穿着舒适透气，还有导汗速干的功能。店家服务态度好，物流很给力
俺***圣,star5,面料很舒服，个人比较喜欢穿黑色的，白色的驾驭不来，比较爱出汗
j***h,star5,上身效果非常好，舒服，号码合适
2***y,star5,男朋友很喜欢  尺码是190的 料子摸着很舒服
j***l,star5,之前买小了一码，商家立马以新换旧，物流速度也很快，穿起来很舒服
漂***Z,star5,物流超级超级快！质量也非常不错，的确物有所值
买***难,star5,衣服很合身，就像量身定做的一样，穿上很舒服，很好的一次购物，物美价廉，快递没得说就是快，信赖京东，会继续关注下去的。
j***5,star5,物流速度很快，上午下单下午就到了，手感也可以摸着比较舒服，洗了一下不掉颜色，老公很喜欢
潭***汐,star5,这款质量非常好，洗后不掉色，也没出现缩水现象，不愧是品牌的衣服，准备再买一件。
我***_,star5,"基本没有认真评论过,不知道浪费了多少积分,这个福利;真的很不错，妥妥每次都写100多字，这是第N次在网上买东西了,棒棒棒，好厉害好厉害,东西便宜质量好,物美价廉,买的放心,用的放心，开心，感觉都买，上瘾了买买买根本停不下来，东西多而且又全,划算,方便,实惠,包装也好,没有任何损坏,会一直支持下去的。足不出户就可以买到所有日常生活需要的食物、日用品及生鲜水果,简直是太合适了来基本没有认真评论过,不知道浪费了多少积分,这个福利真的很不错,值得购买特意分享给大家。"
j***O,star5,面料材质：非常好舒适程度：舒服透气
j***d,star5,面料材质：满意上身效果：刚好身材体型：刚好舒适程度：很好，柔软其他特色：好吸汗效果：好
等***0,star5,衣服刚收到，就试穿，非常合身且舒服
j***d,star5,好，很好，非常好，穿着很舒服，不臭脚，京东大平台，大品牌，值得信赖，推荐大家可以购买！
梅***安,star5,很不错，旗舰店里的衣服有保障，质量很好，第一次买黑色的衣服，感觉不错，而且衣服质量很好，经常光顾！
