https://item.jd.com/100046076080.html,耐克DV1237,100046076080,0.9kg,以实物为准,DV1237-600,2023年夏季,系带,透气
用户名,评分,评论
j***l,star5,儿子一直喜欢耐克，这次活动也很划算，穿起来还可以不显脚大，鞋底比较舒服，包装很好，他很喜欢，物流也挺快的，比预计早到了好几天，赞！！！
枫***曦,star5,京东物流速度是真心快，第一天下单，第二天就到货了！最近体重超标，准备健身跑步了，特意买了这双跑步鞋，上脚感觉很不错，鞋底很软，就是褶皱有点多，不过这个材质可能就是这样的，没办法。总的来说还是很不错的！
y***x,star5,昨天下单今天就到货了，京东物流就是杠杠的，很有保障，非常快。宝贝到货立马试穿了一下，鞋子很不错，穿起来蛮舒服的，黑色挺好的，耐脏。
小***宁,star5,在店里看到的新款，趁着618活动期间在京东上一查，比店里便宜好多，马上买来穿起来。质量很好，和实体店里的一模一样，脚感特别舒适，外观帅气，值得推荐！
小***6,star5,鞋子很不错，应该是正品，鞋底厚也很软弹，走起来很舒服，只是厚跟有些前置的有点不习惯。穿过多个品牌的运动鞋，整体感觉还是耐克的好穿。
马***群,star5,很漂亮的一双鞋，底子很软也很厚，穿上至少增高了三公分，和穿了增高鞋似的，质量也不错，正品～～不过，脚胖的人最好多选半个码。
1***3,star5,超级舒服，弹力十足，耐克就买京东自营。之前买了双aj查了是正品。这个也是，很适合跑步，爬山，鞋子很跟脚
温***3,star5,这双鞋子的底子非常柔软，穿起来很软，有弹性，有三个颜色，我选的黑色的，其实白色的也不错，脚背是网的，透气不捂脚，还有增高的作用
j***o,star5,首先618的价格真的很nice，物流超好，转天就到手啦外观颜值：nike的颜值从来没有失望过舒适度：包裹效果很好，鞋底回弹明显尺码大小：正码做工细节：无胶印 线头
Y***9,star5,在线下店里试了试这款鞋，真的超级舒服，感觉跟zoom一样柔软，这个鞋码要比平常买大半码，要不会很小的！薄厚适中，刚刚适合夏天穿，可惜没有绿色，有就更好了！
小***棒,star5,是正品，而且价格不贵，用着也很大气，一直在用，很好???宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的???是理想中的产品?，质量不错，物流也很快，值得点赞！特别特别特别好，没有任何破损的地方，外观也好看，好评！
小***棒,star5,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买实用性和颜值都非常的赞，我很喜欢，还会再来买的宝贝收到，物流很快，描述相符，比较满意，好评，推荐
j***e,star5,鞋子已收到，包装的很好，鞋子很好，跟图片一样一样的。这次618活动优惠一百多，一直都买京东自营店的东西，质量有保证，售后服务也很好。有什么问题随时随地都可以解决。
扫***佬,star4,外观颜值：颜值高，设计风格活泼向上。舒适度：舒适度很好。做工细节：细节有瑕疵，胶水不均匀，某部位脏的明显。尺码大小：刚好合适。抓地效果：抓地效果很好。但是不知道是否耐穿。透气性：不是很理想，但是布料就是这般，基本上决定了。担心是否有脱胶的现象，外包装非常低调，对产品的真实性持怀疑态度。
j***5,star4,总体来说这双鞋子不错，618也便宜了一百多，刚开始穿确实有点紧，一般一两天就好了，另外一说，红色是真好看，比那什么米白色强多了?
温***3,star5,这双鞋子的底子非常柔软，挺厚的，有点增高的效果，脚背是织的样子，挺透气的，应该不捂脚，价格比较合适，店里边七百多，京东价格给力
c***u,star1,降价这么快的嘛，几天降了20%
阿***_,star5,老公特别喜欢，样子很好看，穿上也舒服，不过不适合马拉松，鞋子稍微有点重，还是要轻薄一些的鞋子才适合马拉松，平时穿穿还好，有需要还会来买的，喜欢的朋友不要犹豫啦。
u***p,star5,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,京东物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖京东. 客服态度特好, 我会再次光顾的，发货迅速，态度很好，很满意！很好很好！下次有机会再找你，客服人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心。"
烟***常,star5,质量很好，收到货第一时间打开看了，很不错，很满意想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！挺好的，和想象中一样，随意搭都很好看，满意！
夜***玉,star5,这双鞋，一开始没想到能多好，就准备试试的，结果这看到实物后，简直不要太舒服，目前穿过最软的一双耐克了，物超所值。当然如果价格再便宜点就更好了，哈哈
D***N,star5,尺码大小：大小合适实穿感受：穿着很软很舒服鞋子好看
j***J,star5,鞋子很漂亮，很舒服，很满意的一次购物
我***分,star5,物流很快，?产品很快就收到了，比想象中还好，不错不错！希望能耐用
j***X,star5,鞋子颜值高，很舒服，鞋子包裹性好建议拍大半码。
j***m,star5,穿起来真的巨舒服，中间鼓鼓的，踩起来软软的，颜值很高，不错的购物体验！
a***u,star5,鞋轻，鞋底软，踩着舒服，足弓做得很好，走路轻盈不累，防滑大底。
J***0,star5,儿子很喜欢，穿上脚舒服，这个颜色很好看
赵***8,star5,外观颜值：新款看起来不错，尺码大小：大小刚好很合适，
p***3,star5,非常有特色的一双鞋，无论是外观还是穿着的感受。
u***o,star5,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物
j***u,star5,很好的，穿上也舒服！
吴***8,star5,穿了一段时间再来评价，鞋子不错，轻便舒适透气，物流也很快
清***i,star5,这是在jd买的第五双nike鞋了，款式好看，穿着很舒服，支持。
w***z,star5,适合慢跑和步行，很舒适。
把***z,star5,跑步初级入门，颜值最重要吧。上脚不错，非常喜欢。
咕***陈,star5,用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了
马***丶,star5,实物比照片好看，开车日常走路真的很舒服，
j***2,star5,很适合漫步者，很不错的一款产品，舒适好穿
j***r,star5,超级满意，老公孩子都喜欢
j***a,star1,买来就有褶皱，穿一早上就这么多了
8***6,star5,上脚很舒服，有点增高，挺满意的一双运动鞋。
w***4,star5,鞋子收到了，刚才试了试，很舒服，弹性也很强
Z***a,star5,因为送给朋友，不方便拍实物照片。但是朋友真的很喜欢！说明鞋子一定很好。
j***g,star5,鞋子轻便舒适透气，又很休闲，非常喜欢！
张***9,star5,穿了一段时间了，很柔软，价格也很不错，值得购买
j***e,star5,完美，产品很惊艳，性价比合适，希望用的长久！
j***9,star5,特别好看 给爸爸买的 穿着很舒服
j***h,star5,好穿，鞋底也很舒服，爸爸也很喜欢
有***乐,star5,鞋子质量很好，一直在京东购买，值得信赖
亮***1,star5,穿着特别舒服，样式也挺好看的
j***f,star5,很喜欢，鞋底很软，样子也不错
伊***金,star5,鞋子大小合适，质量也很好。
k***n,star5,鞋子很好看很舒服，穿上人都好很多！
j***d,star5,软软的，很舒服，也透气
大***9,star5,大小很合适，鞋底穿着舒服
熊***燚,star5,穿起来特别舒服 适合夏天和跑步
W***N,star5,很喜欢这双鞋子，我觉得很舒服
2***d,star5,十分舒适。618价格也很合适。
