https://item.jd.com/100016753091.html,耐克DQ8114,100016753091,200.00g,以实物为准,DQ8114-010,涤纶(聚酯纤维),拉链,成人
用户名,评分,评论
过***0,star5,这款腰包真的不错，用料厚实，做工精致，连个线头都找不到，容量很大，有隔层，手机和小物件可以分开放置，分类清楚，使用起来方便顺手，比同类或同价的好很多，实用性很强，出门跑步带它就够了，再也不用担心手机没地方放了，物有所值，你值得拥有。
靌***蓝,star5,看着虽然小小的，但是特别能装，有两层，每一层都很能装，在百亿补贴买的，全网最低价，而且还能保证正品货，这里不得不夸一下京东的物流，真的很快，今天买明天就到了，还有不得不说一下，宝宝中间的接扣很有重量，看起来就质量很好。强推
阿***9,star5,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来
悍***1,star5,看着图片以为包包容量不大，收到货一看，真心不错，容量不小，放折叠雨伞或水杯很OK，做工精细，面料厚实，孩子背着很满意，值得购买
j***の,star5,暑假到了，孩子出门游玩，需要一个好看的腰包，放个水，放个手机。挑了好久看到这款，孩子一眼相中，果断下单。物流非常快，下午下单隔天上午就到了，完美
j***i,star5,搞活动119买的，618的时候是109，没给退差价，不过质量是可以的，男女都可以背，可以购买，我之前买了一个粉色的，这个黑色的给老公，可以当情侣包
l***j,star5,这个包大小合适，主要是品牌值钱，包装一般包装就是一个普通的塑料袋，装的量大概就是一个手机，一个充电宝再放一点小东西几张纸。如果这个外包装好看一点就更好。
天***1,star5,老规矩，速度非常的快。而且是正品，价格应该是全网最低的了吧，假货除外，比识货价格便宜。所以性价比高，值得购买，夏天衣服少，可以放手机香烟等东西。
慕***服,star5,不错不错容量挺大的，看着小小的，其实特别能装，而且背起来也十分舒服，一年四季百搭，冲，赶快买，买不了吃亏买不了上当，真的很不错！
马***7,star5,外观材质很好，摸着很舒服 商品品质包的质量很结实 性价比高，容量大，装手机充电宝之类的 商家发货很快，物流也很快，京东买的靠谱，正品。
C***过,star5,挺好的，价格非常合适 包包也很好看，可以装一些充电宝啥的小东西啊都可以装，出门带着非常合适，客服也很好，快递也很快，推荐购买
这***巴,star5,好多年啦，这次买了一个，价格很实惠，非常满意。是要换一个包包啦！打篮球的时候带上放手机钱包钥匙哈哈哈挺实用的哟～不晓得会不会掉
兰***y,star5,京东发货送货超快，昨天晚上下单，今天早早收到了，到货包装完好无损，正品无疑，这次活动价格也非常实惠，有需要还会再来！！！！！
兴***k,star5,这个包包简直就是太矮了，这个小清新的绿色是我一直喜欢的，昨天去商场看是240十多，从京东自营店一搜160十多果断下单入手，非常喜欢
j***q,star5,"耐克的衣服鞋子买了很多,包还是第一次买.很不错。      很喜欢，主要是价格也很便宜，在京东买东西还有价保，也不用担心买贵了。"
l***0,star5,看评论都说挺好，确实还不错，应该是正品，挺实用的能装不少东西，夏天背正好，很清爽的颜色，物流也特别快，第二天就送到了，在京东买东西还是挺放心的。
j***t,star5,腰包上身效果挺好的，容量也挺大的，在Nike京东自营上购买的，应该是正品，各处细节做的也不错。价格也还行。物流速度也挺快的。总体来说很满意。
烟***啡,star5,去年买了一个，结果怎么也找不到了，今年看还有货，赶紧再买一个。包很好，挺能装东西的，就是再有隔断就好了。其实也就是为了买个商标
j***M,star3,刚买了没几个降价20，我也是服了
n***x,star5,有两层。放东西都可以分类管理。布料比较薄。不过比我想象中要小一点。颜色挺好。夏天背着清爽干净。包本身也比较轻。算是减负了。快递方便。
Y***n,star5,挺好用的包，比较好看，因为之前买过同款，这次再来一次送给朋友的，朋友很喜欢，生日礼物很好，可以买的，有点线头但是不太影响
j***1,star5,垮系收到了，小孩子挑的，希望他喜欢，大品牌，品质希望也有保障，后续有需要会继续购买此产品，支持好的东西！试用了一下，效果还可以。
名***风,star4,包款式很潮，是自己喜欢的类型，材质摸起来感觉还不错，只不过带子只能调节一边，对于上半身不壮的人来说，即使调到最短还是有些长，要是另一边也能调节就完美了～
两***-,star5,很好容量很大！能装的东西非常的多质量也非常得好！！！！值得推荐！！而且有两个装的地方，很值这个价格！价格合理，建议入手！
o***m,star5,真的是很不错 ，本人超级喜欢，再次感谢店家让我拍到了物美价廉的东西 我会一直关注你们家的产品哦。已经向身边的朋友多次推荐过你们家的产品了哦。我再来购买的时候希望店家多多给我便宜些哟，呵呵，好的产品是非常值得推荐的，超好用！稳稳的！满分
银***杨,star5,整体效果还算不错、面料柔软、舒适、透气、潮流、就是夹层少了点、应该多几个小夹层就更好了、黑色百搭耐看、总体效果还是卡哇伊的
美***了,star5,这个胸包款式时尚，大小合适，产品质量不错。与描述较为相符。面料材质都好。背起来比较帅，拉链口袋使用较为方便。服务态度较好。
尘***源,star5,轻巧便携的一个斜挎包，背起来很酷，带子长度可以调节，扣带设计易于穿脱。容量也不算小，能放下一把伞，把A5的一本书卷起来也能塞进去。
你***6,star5,包包正品，背上很帅，内存较大，冲冲冲！
F***0,star5,简单大气，很漂亮的包包，款式时尚好看 ，颜色大气好搭配衣服 ，大小也正好合我意
j***d,star5,给孩子买的，大小正合适，做工也不错?，物流配送都很快，京东购物好平台?
和***平,star5,是我梦寐以求的包包，十分喜欢，腰包有点松，斜肩包很合适，腰包的调节已经是到极限后还是跨不住，我的腰太细了吧，商家服务态度一流，物流好快，商家生意兴隆，越来越好，需要还会再来的，??!
j***K,star5,男士腰包背起来很时尚，还不错！老公很喜欢，京东自营买的正品保证
j***r,star5,送我家老男人的，大小适中，材质很好，质量也不错，到货也很快
乖***y,star5,外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！送给男朋友，他挺喜欢的容量大，也很实用。质量不错，比较高级，又很耐脏。五星好评。
j***k,star5,包装很好，颜值不错，质量也没有问题包装很好，颜值不错，质量也没有问题包装很好，颜值不错，质量也没有问题
j***a,star5,很好用，小巧，可以装很较多的东西，平时上学背一背，很好搭
新***买,star5,产品质量非常好，包包大小也合适，活动价格非常棒
新***买,star5,产品超级给力，全新的，发货也快。希望活动多多开，支持支持！！
小***_,star5,不太爱评价，但这个是真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！
j***j,star1,包装就是一个塑料袋特别简陋，
m***h,star5,非常好，很有质感，买给孩子的，夏天出门放个钥匙手机充电宝啥的都够用
简***石,star5,特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的
空***道,star5,不错  大小合适   非常适合夏天
u***d,star5,很舒服，很得劲，发货速度快！
无***起,star5,?超级好用！还很美观！墙裂推荐！有需要再回购！
新***买,star5,发货非常快，商品已经收到了。包装完好。
新***买,star5,产品已收到，发货非常快，包装满意！
新***买,star5,东西已经收到，发货非常快。产品符合描述。
新***买,star5,发货非常快，第二天就收到了，价格合适！
j***o,star5,宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖！
j***Q,star5,很喜欢  很好看  送人的  买回来和图片一样  很不错
上***者,star5,我收到了，宝贝。这是一个惊喜。质量非常好。这是一次非常令人满意的购物。我会继续回购。这家商店值得信赖。
新***买,star5,已经收到了，发货非常快，相当满意?
z***-,star5,活动购买。质量好颜值高，大小合适，非常棒！！！
d***b,star5,可以，空间很大，放一台65寸电视机都没问题。
j***n,star5,携带方便，质感很好，休闲出行很适合
X***来,star5,送对象的很喜欢哦 再买一个当情侣
B***e,star5,挺大的，比印象中大很多。
名***吗,star2,商品一般，很皱，线头一大丢
潮***舞,star5,给朋友买的，非常不错，是正品，自从背上了AJ朋友腰杆直了，面容精神了，也找到了女朋友，非常的棒，建议购买
_***_,star5,包包很好看，送给男朋友的，平常大小够用
家****,star5,速度很快，第二天就到了，很好，款式也很简单
菲***3,star5,好看好看好看好看好看，物美价廉非常好看好看好看
皮***蛋,star5,很好看，质量也很好，容量也挺大
j***s,star5,宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???
j***H,star5,很合适，很帅气，适合年轻人背的一款包
过***呢,star5,款式很好看，有个同款的书包，很喜欢！
j***o,star5,背着很好看 很潮流 男朋友很喜欢
j***j,star5,非常满意特别满意非常满意特别满意非常满意非常满意非常满意
j***f,star5,小巧好用，非常适合运动背着，好东西多分享
j***6,star5,一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
新***买,star5,产品非常合适，价格也便宜，发货很快！
n***b,star5,很好看，也很实用，版型很好
A***诚,star5,非常好，颜色百搭，好看又好用
j***8,star5,包很漂亮，很大气，适合学生党
j***8,star5,包很好看，穿什么衣服都很搭
j***n,star5,质量很好 里面的空间正好满足我的需求
V***叔,star5,好看哟，天天背着 超级不错
英***蓝,star5,男朋友很喜欢 颜值在线 值得购买
纷***季,star5,很方便，容量还可以了啊
j***o,star5,非常棒，值得推荐给大家，下次还会购买。
j***6,star5,很好看，很喜欢，做工很好
j***8,star5,很漂亮的包，背起来不勒
阳***士,star5,腰包很好看，是喜欢的类型
u***e,star5,包包很好看，和照片一样，正品
j***1,star5,包包收到了，孩子很喜欢，做工精致
j***Z,star5,看似小，非常能装东西。
j***g,star5,包略小，但是比店里的更加精致，物超所值
李***的,star5,很好看，质量也不错，很赞
j***J,star5,样式很好看 女朋友很喜欢
j***q,star5,物流很快，第二天就到了，孩子很喜欢～
奶***l,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……
a***9,star5,款式很不错，很棒，喜欢
j***6,star5,挎包质量很好，物有所值，好评。
我***啊,star5,买的包非常好，十分的耐用
宇***3,star5,做工好，容量也很大。
j***q,star5,拉链经常卡住，其他都很好
j***z,star5,很不错的包，穿起来很好看
j***l,star5,很不错哦，发货快，质量好，很喜欢！
