https://item.jd.com/100010759463.html,耐克DB3811-010,100010759463,200.00g,以实际产地为准,DB3811-010,系带,五分裤,夏季,男,2023年春季
用户名,评分,评论
麒***4,star5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物。裤子两层的，不贴身，打球跑步穿很棒
燕***婷,star5,夏天穿这个很舒服，买了几个牌子的短裤了，只有这个牌子穿着最舒服，这次刚好赶上活动，加上自己会员领的***，很棒的一次购物
j***j,star5,真的很喜欢，完全超出预期值，发货速度非常快，包装非常仔细、严实，买了几个牌子短裤了，就这一款短裤非常不错，非常的合身，很划算
C***过,star5,在这里选购安全方便快捷?，快递小哥态度非常好，这个价格非常给力?，十分推荐，会继续回购高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢
j***F,star5,这条耐克的短裤我在奥特莱斯试穿过，实体店要240元，码数偏小。不管布料很舒服的，京东商城网购还是便宜很多才要155元。很划算。
W***Q,star5,非常帅气，穿起来很舒服，这个布料很舒服，也不粘肉，真的很棒，这已经是我第二条了，非常不错，卖家服务很好，嘎嘎滴，很值得购买，下次还会买
上***6,star5,不错的一款，耐克，聚酯纤维面料的，大裤衩子价格也是，实惠的，便宜的，可以考虑购买的，面料也是特别的，湿滑的，好的呢，可以考虑购买的
天***章,star5,我的身高体重：我身高181厘米，体重187斤，这款穿上太舒服了。尺码是否合适：尺寸正合适，夏天穿着就是舒服！面料类型：面料舒服看着高端大气上档次，值得购买，值得拥有。
子***强,star5,裤子是那种速干面料的，穿上还挺舒服，长度也很合适，穿上很凉快，快递非常快，京东自营真是不错?非常快就到货了
j***c,star5,细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！
净***2,star5,非常不错的一次购物，穿着特舒服，又买了一条
净***2,star5,非常不错，舒服，已经买了3条了
净***2,star5,非常好，穿着舒服，又买了一条
懒***性,star5,重量可以，摸着舒服，京东自营绝对正品
社***建,star5,产品质量很好，号大了点
u***h,star5,裤子比实体店便宜点的，所以下单了
此***4,star5,宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！
j***5,star3,还可以吧，活动买的，也不算太便宜
u***3,star5,裤子颜色不错，很适合我，大小也可以，总的来讲还是开心的
爱***仙,star5,我爱人非常喜欢这条短裤！面料比较挺阔舒服?还要再买一条！耐克品质还是好！
F***M,star5,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?
陈***儿,star5,非常帅气，穿起来很舒服，这个布料很舒服，也不粘肉，真的很棒，这已经是我第二条了，非常不错，卖家服务很好，嘎嘎滴，很值得购买，下次还会买
都***的,star5,第一次买这种速干的面料！夏天棉短裤还是有些热，这次入手的短裤穿着非常好，轻盈凉快，里面有透气网。不会因为剧烈运动出汗布料贴这腿而难受！非常好的又一次购物！
j***1,star5,趁着京东的优惠，购买了这件心仪已久的耐克短裤。短裤非常合身，裤腰不大不小。外层布料有点类似洗水布，内衬的布料非要柔软，休闲、运动，都很适合
j***m,star5,京东自营的耐克品牌是正品，送货非常快，价格只有在做活动才便宜一些，这款短裤做工细致，质量很好，穿着舒适，耐克品牌值得信赖。
冯***吧,star5,我的身高体重：179/150公斤尺码是否合适：合身面料类型：滑滑的柔软程度：非常软上身效果：整条街最靓的仔实穿感受：再买一条同款买的时候还比较纠结，但是到货之后放心了，夏天穿上不热，推荐大家购买，也比较耐脏，冲冲冲！
秃***营,star5,裤子穿的很舒服，面料很透气，黑色的颜色穿习惯了！
u***7,star5,尺码是否合适：尺码合适，面料摸起来很舒服，比实体店便宜，是真的，下次还会再来
j***t,star5,短裤质量很好，穿在身上感觉很舒服，而且还有7天价保，应该是正品，相信京东自营店
a***n,star5,关注这款短裤很久了，趁着活动给老公和儿子一人买了一条，质量很好，面料是想要的那种，客服解答问题也很及时，送货也很及时，很愉快的一次购物体验。
j***8,star5,京东买东西服务周到，售后也很给力，拍小了换大的，很利索，裤子版型很好，面料舒服，下次还会购买
j***W,star5,东西收到了，试了一下，尺码标准，大小合适，很不错的，下次还要购买
网***O,star5,哈哈 时隔一个月再来评价 ，穿着很舒服 速干透气舒适
1***0,star5,穿着舒服，也很凉快。尺码合适
襄***哥,star5,非常好，质量手感都特别好，非常开心的一次购物
金***越,star5,175/67，买L码又下大了，幸好有绳子可以系上。质量很好，没得说。
j***w,star5,穿上合身，而且很帅气！值得拥有。
城***n,star5,每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去
j***d,star5,物美价廉，物超所值，服务一流，值得推荐。
u***w,star5,衣服已收到，质量很好。
w***8,star3,还可以吧，就是价格略微贵了一点
小***2,star5,性价比很高，不错不错，值得购买！！！！！
山***明,star5,非常好的体验，很喜欢这个裤子
剀***哥,star5,非常不错，穿上很舒服
j***6,star5,和实体店的一样，网上要划算很多
黄***仙,star5,这条裤子非常的柔顺好穿
微***飘,star5,东西收到了，质量很不错，很喜欢
我***颖,star5,很好很舒服，给侄子的。喜欢
x***i,star5,东西不错，送货很快，第二天就到了！
大***9,star5,嗯嗯 裤子的质量非常nb，我喜欢。
u***d,star5,衣服质量很好，很nice。
u***d,star5,衣服质量很好你nice。
j***/,star5,第一次买速干料的 意外的舒适透气很棒
j***D,star5,短裤非常合身，而且轻巧，适合运动
宁***啊,star5,非常好 里面带着透气网 十分舒服
解***人,star5,老公穿的很好，这次买的比较成功。推荐。
u***d,star5,衣服质量很好，很nice。
j***t,star5,速干面料，跑步穿很不错。
j***d,star1,就这手工不是缺线就是吐露丝线头子
大***楼,star5,质量非常好，儿子很喜欢！
c***7,star5,是京东自营，又赶上活动，非常满意
极***4,star5,非常棒！一直购买京东的东西！品质有保障
j***o,star5,物流速度超赞，用后评价。
J***1,star5,裤子穿着很快。尺码准
j***b,star5,物流非常快，宝贝也很好
j***y,star5,帮朋友买的，说是非常满意
j***5,star5,布料柔软舒适，非常好！
J***i,star5,裤子很合身，相信京东
j***2,star5,着身效果非常好，满意
k***7,star5,性价比还是很好的一款产品
山***8,star5,一直喜欢耐克，很好。
周***兵,star5,裤子不错，穿起来也舒服，颜色款式独特，物流速度也快，京东自营的就是不一样，虽然价格贵一些，毕竟一分价钱一分货，一分服务！全是很满意吧！
彤***2,star5,穿着舒适，轻便透气，价格实惠，临晨购物，下午就到.高铁?速度，为京东点赞?谢谢！
a***r,star5,还是不错的，面料舒服，穿起来大小合适，手感柔软细腻，薄，非常适合运动，不知道吸汗水平怎么样。总体来说五星好评。物流慢了点。
y***9,star5,这条裤子是在京东商城购买的，孩子165，买的M号，可以穿几年吧。里面有网子，面料比较凉快，不是贴在身上的那种，夏天穿很舒适的感觉。
塔***呼,star5,耐克的的所有东西都是值得信赖，不会辜负每一个顾客，每一位热爱运动的人。这次买的东西没有毛病，以后如果还有需求还会一直在这购买。
j***5,star4,版型可以，买了两条了，170/70公斤买的XL码宽松舒服。
u***c,star5,本人身高170CM，体重140，L号正好 短裤质量不错。
吾***帅,star5,已经跟了两年了，终于下手了，还是要小一码更好
j***s,star5,不错，穿着舒服，布料柔和，款式也行
o***9,star5,正品，这种面料穿着凉爽舒适，挺好的
凌***3,star5,京东商城又快又好没毛病
z***y,star5,做工精细，正版。买小了一码。换货中
骑***者,star5,一直支持京东，东西还是一如既往的好，多，快，好，省，不虚此言。希望京东越办越好！
j***u,star5,京东物流就是快，东西不错，已经是第二次购买了，满意，推荐购买
小***8,star5,尺码是否合适：尺码合适，价格稍贵，穿着舒服，老顾客的好评。
东***锵,star5,挺好的，是我想要的那种，不错！
u***3,star5,物流速度快，快递员服务好，只是商品包装简陋，象山寨版
u***c,star5,短裤质量不错，按照指导号码购买正好。
石***寂,star5,质量很不错，有点宽脚偏长
j***n,star5,合适  挺好看  价格便宜
恋***圈,star5,还可以，凉快的，就这么多了
j***q,star5,正品，好看跟实体店一样，便宜很多
j***p,star5,短裤面料柔软，穿着舒服
j***f,star5,质量挺好，全夹层的。
w***t,star5,款式不错，是正品，噢力给
j***w,star5,质量好是正品大家可以放心购买
j***K,star5,货已收到、查询了一下是正品
u***h,star5,货真价实，品质不错，值得信赖。
j***L,star5,产品质量好、商家服务态度好
