https://item.jd.com/100006367417.html,耐克SX7678,100006367417,0.55kg,以实物为准,SX7678-010,男士,袜子
用户名,评分,评论
希***宇,star5,袜子质量不错，内里也很整齐没有乱线头。收货过程有点儿小问题，客服很快就给处理解决好了。挺好的，软软的，没有异味，价格实惠。五双可爱的小袜子是中筒袜子，可以把秋裤包在里面啦！拍了四双，另一双被宝宝穿上了。好评好评，有需要的宝妈赶快着手吧！
峥***峥,star5,耐克自营的东西相当不错，经常在自营买东西，物流那是相当的快，东西也非常有保证，总之就是非常满意的一次购物，以后有需要还会再来光顾的。
i***r,star5,经常在京东自营买东西物流相当快袜子?透气性好款式很大方质量很好，值得拥有五星好评值得拥有性价比高很实惠
j***8,star5,一直穿nike的袜子，夏天来了，穿着舒服，不磨脚，不起汗，美观大方，能长久穿着，不臭脚，不拉丝，一直信爱京东，速度非常快，送货上门。
问***c,star5,一直在京东自营买东西，质量有保障，现在天热了买几双短的袜子，当天下单当天就收到了，收到货后很惊喜，手感很好，很是喜欢，好评
元***u,star5,还不错吧，一直都穿耐克的袜子，弹性非常的好，版型也很正，比较适合夏天穿着。最主要的是透气吸汗，不臭脚。嗯，但是洗了之后容易缩水，建议买大一码。
p***6,star5,款式很大方，质量非常好，价钱也很合理收到货后试了一下，很不错，质量很好，值得拥有！五星好评！性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.物超所值，话不多说，这四个字已经说明了一切发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买
戈***尔,star5,耐克的袜子不错，棉的比较透气，不容易积汗，穿上舒适度也不错，且不会脚臭，短款白色适合夏天穿，搭配板鞋比较时尚好看，质量很好?。
旺***我,star5,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物，很不错很不错的袜子，会再次回购的。
那***4,star5,快递很快收到，隔日达，包装很好，质量不错，不会臭脚，一直都是穿这款短袜，很舒服，不掉跟，不会掉颜色，不变形，很柔软，吸汗透气效果很好。
D***B,star5,夏天快到了 又到了穿?的季节了 去年买了三双白色的 体验感还不错 质量上乘 一天下来?也不会特别的臭 所以这次又买了三双黑色的
