https://item.jd.com/100010540331.html,耐克CZ5478,100010540331,0.69kg,以实物为准,CZ5478-001,男,简约,凉拖,2021年夏季,沙滩
用户名,评分,评论
牛***6,star5,这款拖鞋很有型，特别轻，跟贴脚，走路舒适！脚底设计通气孔，不闷脚底，性价比高，很值得入手的一款家居拖鞋。不错不错不错！！
u***8,star5,在网上看了好多样式的拖鞋，还是这双看着舒服，京东的物流很给力，几乎隔天就到了，鞋子到手后穿着真挺不错的，有透气孔也不割脚趾头，鞋面的小豆豆还可以起到按摩作用。
C***g,star5,??耐克NIKE休闲鞋男一字沙滩鞋VICTORI ONE拖鞋CZ5478-100白44，京东自营店商品，有品质保证，码数标准，颜色与图片一致没有色差。配送好快速，服务好。
孙***齐,star5,耐克是世界知名的运动品牌，其拖鞋产品也非常受欢迎。耐克拖鞋采用优质材料制作，具有舒适的穿着感。它们通常拥有轻便的设计和耐用的鞋底，适合日常休闲穿着和室内活动。耐克拖鞋还注重时尚与功能的结合，提供各种款式和颜色供选择。无论是户外活动还是室内休闲，耐克拖鞋都能为您提供合适的支持和舒适感。总的来说，耐克拖鞋是一款品质可靠、时尚实用的选择。
M***P,star5,超级nice的一款nike拖鞋！上脚脚感很舒服！尺码很不错，大一码很舒服，拖鞋也很轻，一点不重！最重要的就是它可以踩水！！！这点真的太适合夏天了！推荐！冲啊！
Y***1,star5,以前的拖鞋坏了，正好换新的，京东Nike的旗舰店简单直接，端起来很方便，而且不用担心假货，正式的东西都选择在京东上买，到货速度也快，质量有保障
熊***下,star5,物流很快，?产品很快就收到了，比想象中还好，不错不错！希望能耐用。穿着挺舒服的，有点气垫的感觉，湿水后也比较快干，防滑效果也很好。
y***3,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……大品牌！值得信赖的！效果超级好！很棒的商品！穿着舒适，透气很好
j***1,star5,质量好，穿着很舒服。京东购物价格优惠，方便实惠，物流非常给力，客服的服务态度也很好，下单之后很快就收到了，希望多搞优惠促销活动。
阿***子,star5,这个产品还是蛮不错的穿在脚上非常的柔软舒适也不磨脚京东物流送上门也非常方便，非常不错的购物体验一如既往的支持京东希望以后能出更多的好产品
