https://item.jd.com/100012169657.html,耐克AR4999-013,100012169657,140.00g,以实际产地为准,AR4999-013,圆领,男,短袖,秋季,宽松型,2021年秋季
用户名,评分,评论
j***c,star5,耐克基础款体恤衫，面料是纯棉的，吸汗透气，手感很好，上身感觉修身，适合日常穿着。京东物流也快，6.18买的，价格优惠有活动，
w***8,star5,纯棉品质，正品无疑！比较薄正适合现在穿，昨天下单，今天到货，京东自营的速度是任何店商无法超越的，值得信赖的永远是京东自营！相信京东
u***4,star5,面料材质：100%全棉材质上身效果：上身效果很好，大小比例也很合适舒适程度：舒适度好吸汗效果：吸汗透气，棉质吸汗好身材体型：微胖体型其他特色：大品牌，设计简约，但是经典好看，价格也不贵
j***t,star5,?终于对它下手了，颜值是真的没话说?，材质很好，物美价廉，趁活动赶紧囤起来跟实体店没有区别，还便宜，喜欢！好！非常好！质量好，和实体店一样，颜色正，是我喜欢的
迈***e,star5,耐克中的基础款T恤，料子比较薄，非常适合夏天穿，透气性只能说还行，本人188高215重穿Xxl应该是正正好好，在胖点穿可能就够呛了。
u***t,star5,面料不是特别好。穿在身上久了有毛一样。有点黑。上身效果不错。版型还好。也比较的舒适，很薄。也比较透气。不是很满意。包装也一般。
c***c,star5,这款面料摸着像棉质的，上身效果显瘦，穿上很舒服，吸汗能力很强，身材体型非常完美，很满意，价格能再优惠一点就更好了，非常非常满意
n***i,star5,京东搞活动的时候入手的还是很划算，一次买了两件，耐克的衣服就是简洁大方，穿起来很舒服，可以当运动服穿，也可以平时穿，只要搞活动就可以入手
j***y,star5,准者这个品牌，经常购买，面料很舒服，上身效果挺好，款式简单大方，夏天穿合适，透气吸汗，尺码标准，用京东物流速度也很快，送货上门挺好的！
s***o,star5,客服服务态度好，回复快，有问必答，京东发货神速，包装精细完好，衣服没有损坏，且做工精致，很显档次，不亏是大品牌，期待质量过关，一定回购。
l***4,star5,纯色上衣真的是百穿不腻，简约小清新越看越喜欢，纯棉面料厚实不透，日常也是很百搭的，穿着没有起球的情况， 喜欢宽松建议拍大码，上身很好看，喜欢值得入手！
帥***鱼,star5,面料材质：纯棉面料，手感很好，nice！上身效果：金典宽松，宽松版型，穿着很舒服舒适程度：纯棉面料，柔软，亲肤，透气，穿着很舒服吸汗效果：纯棉面料，吸汗性强其他特色：耐克经典款式，宽松版型，柔软，亲肤，透气，吸汗性好，穿着很舒服
j***符,star5,大品牌值得信赖，衣服不错?，还没穿了，先过水洗一下，明天开始上身，大小正好，身高1.8米，体重80公斤，非常合身，不错
贾***4,star5,是正品，而且价格不贵，用着也很大气，一直在用，很好??很好，物流很快，东西很给力，性价比很高！实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦
j***0,star5,东西很好，很喜欢，材质也很舒服，很喜欢，价格也很很很很很便宜，黑色的穿上去夏天也感觉比较遮肉感谢京东，为了多写几个字也是很难的
