https://item.jd.com/100013902807.html,耐克DD9682,100013902807,0.8kg,以实物为准,DD9682-100,合成革,橡胶,低帮,女,2023年夏季,系带,减震
用户名,评分,评论
R***啾,star5,蛮不错！匡威还有mlb是37和37.5的，也买过耐克的足球鞋不过那个属实买大了38.5对于我来说。这个买38就刚好的舒适！京东客服推荐的非常精准！我是162厘米93斤嗷（仅供参考）
虎***风,star5,这款鞋子款式非常漂亮，配色清新，穿起来比较轻盈，不愧是耐克大品牌。京东快递是真的快，头一天下单，第二天就到了，送货上门，小哥和气。
森***泰,star5,耐克女士运动鞋，质量很好，款式简洁大方。号码非常标准，现在很多商家没有半号的鞋码。耐克牌的鞋有38.5码及其它型号的半码。若38号小点，39号又大了，38.5号的鞋码将会非常合适哦。感谢商家提供商品及的优质服务！物流快！包装好！晚上下单，第二天就送到家里，点赞！
l***6,star5,鞋子已经收到，耐克tc7900鞋子很漂亮，给侄女买的，侄女很喜欢，穿着很舒服，鞋子尺码大小正好合适，包裹性很好，质量很好，是值得购买的。
言***i,star5,穿起来很舒服，快递一到就迫不及待的试了起来 发现跟想象中的一样 鞋子很轻 一点重量感觉都没有 快递服务态度也特别好。。。
s***舒,star5,物超所值，做工和面料都很棒，穿着轻便舒适，618的价格也很实惠，发货和物流超快。京东自营店正品鞋，值得信赖。
赫***了,star5,运动鞋收到了，很棒的一款复古鞋，穿上又很时尚，材质柔软，尺码标准，走路、站久了都不累脚，喜欢。带防伪标识，买着放心。京东自营物流很快，当天送达，好评！
j***0,star5,很漂亮 上身效果真的很好 是我想要的样子 是我喜欢的样子 是我喜欢的样子是我喜欢的样子 是我喜欢的样子 是我喜欢的样子 是我喜欢的样子
小***h,star5,每个星期都会在京东买，购物实在太方便，从此买生活所需用品第一个想到的就是京东，商品还不错，但是价格比某某会高100左右，性价比一般吧，尺码大小：正常，透气性能：还可以吧，舒适程度：很薄适合北方夏季，柔软程度：还可以吧，其他特色：没什么特色，我是习惯了京东配送时效，商品还行吧。。。
俗***丶,star5,当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！
R***e,star5,趁情人节，商家有优惠活动，赶紧下单送给太太。13号凌晨2点下单，下午就送到了，京东物流真给力??太太平时穿35码，这个品牌35.5也刚好合脚，穿着很舒服，材质很轻，纯白色配衣物很百搭，她很喜欢。
1***e,star5,一拿到快递就试了一下大小，长短合适，刚刚好，不长也不短，尺码很准确，按照正常运动鞋码数买就行，鞋型以为很好看，轻便透气，适合春夏穿，现在正是好时节
梦***1,star5,在JD自营上购买的好处就是今天下单第二天就到了，而且还是送货上门，鞋子很舒服，很好看，一眼就爱上了，推荐购买，好搭配衣服，
j***o,star5,这个真的太?了，?包装很精美，宝贝做工比较精细，商家特别好?，有问题都及时处理?，确实是一次相当满意的网购，还会再来的?
莹***4,star5,喜欢耐克的这双鞋很长时间了，京东这个价格相对还是比较合理的，于是毫不犹豫拍下。物流挺给力，很快就收到了。包装完好，有防伪标识，还是挺放心的。
李***婆,star5,看着挺不错的，鞋子看着比较有质感，也不笨重的感觉，款式也好看，穿在脚上脚感也挺好的，透气性能也比较好，白色的鞋也比较百搭，唯一需要困扰的就是白色的不耐脏了吧
j***f,star5,这鞋到手6百多，还是满贵的！这双自营店的产地是国内的，穿起来比较软！勾有反光条！在实体店也有看到一双是国外产的，稍硬一点！这鞋还行，穿着也舒服，就是贵了点
林***2,star5,柔软舒适，做工好，有个店比这个便宜、但我看了好评，选择了这家，还是比较放心的，反光标也很酷，耐克家粉丝，拖鞋裤子衣服都是你家的。
j***h,star3,鞋子很好看，但是穿半天左脚   脚后跟疼的厉害  不知道是不是因为鞋底硬的原因
H***e,star5,推荐一款我最近购买的耐 克NIKE女子休闲鞋复古远动鞋！这双鞋子的设计风格十分复古，配色也很与众不同，非常显眼。鞋身采用了高质量的皮華材质，非常柔软，穿起来舒适度也相当高。除比之外，它还搭载了专业的远动鞋底，能够提供出色的缓震和抓地力，不管是走路还是运动时都非常稳固。我最事爽的一点是它的鞋带，宽库的鞋節设计既更加美观，也更加容易系鞋带。我途择的是顶峰白色，感觉和其他白鞋不同的地方是，这个颜色的白色很绝泽，鞋的设计也非常时尚。忌之，这双鞋子的设计精良，质量优异，既可作为日常的休闲鞋，也可以为你的远动提供必要的支持和保护
b***o,star5,还是耐克鞋子穿着舒服，码子很正，这家耐克自营店比其他家的穿着舒服，我觉得，因为在这家买了很多次了，都满意。
j***n,star5,看了很久双十一终于下手了，虽然还是很贵，一分钱一分货，穿着这鞋确实很舒服，走远路也不会累，现在这冷天气穿都可以挺暖和的，包裹性很好，鞋底很舒服。
j***f,star5,差别以为丢件了，快递员都过来帮我一起找了，庆幸找到了，鞋子很合适，穿上脚特别舒适，码数也很合适，走路很轻便，不想之前买了经典款那么硬，喜欢?
j***d,star5,这款运动鞋漂亮，穿着也舒服，送货超快，晚上下的单，第二天一早就收到，客服也是棒棒的！
j***l,star5,很好很满意！发货快，上午下单，下午就收到了，样式、颜色、大小都很满意，穿着舒服！百搭！赞！
R***v,star5,尺码大小：尺码稍微偏小一点点 建议买大半码到一码舒适程度：穿着很舒服，而且还有一点增高柔软程度：还可以发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，在这家店买东西，我很满意~
u***h,star5,颜色是真心好看，送给妹妹的生日礼物，她懒的打理网面的就喜欢这种非网面的鞋
j***p,star5,鞋型超好看的，找了很久才找到这家正品，巨好看，特别配短裤，无可挑剔，很适合夏天的鞋子！码数有点偏小，比平时的码数选大半码就好了！
m***e,star5,颜色 舒适度都很好 特别注意到鞋带没有非必要的那么长 是个优点 夏天可以搭配裙子 健步如飞
弓***杉,star5,高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢
j***q,star5,这款老爹鞋非常舒服，而且还显脚小，还比较轻走路一点都不闷
小***寻,star5,鞋子好看，上脚很板正，客服态度好，置换方便，速度还得是京东，够快。
你***官,star5,打开之后，快递到了之后，迫不及待的打开了，感觉这次的快递还是一如既往的用心，有用这个泡沫，这个气泡垫一下，然后就是鞋子是38码的，刚刚好，这次也是趁着活动买的，非常开心
h***y,star5,这款耐克7900老爹鞋穿着不显脚大，非常的适合！2021年原价在实体店买过一双，前段时间又在京东看到参加活动后，价格就600多，果断又出手帮老妈也买了一双，她很是开心！
1***i,star5,尺码大小：合适透气性能：很好舒适程度：舒适柔软程度：还行其他特色：外观比较好看
a***b,star5,买给媳妇的，她说很好，款式颜色很喜欢，不错的一次购物，柔软程度：鞋底很软
淋***8,star5,上脚很舒服哦，一直相信京东。质量很好，是正品。老爹鞋百搭款，颜色也很好，没有色差。昨天下午买的今天上午就收到了 包装没有破损，完好。没有失望。一如既往的支持京东，平常37码，客服建议拍大半码，正好，很适合，点赞哦！
j***r,star5,很少在网上买鞋，这次收到很惊喜，做工、材质、款式非常完美。次日即到，上脚轻盈、舒适，颜色是乳白
迪***x,star5,穿起来真的很舒服，不重，很合脚。尺码我觉得很正常，你平常穿耐克鞋是多少码就是多少码。快递也很快，总之是很舒服的一次购物体验
畫***熊,star5,尺码大小：符合透气性能：适中舒适程度：很舒服，鞋底软柔软程度：很不错
j***8,star3,外观没什么影响，但是会感觉得到有东西
与***舞,star5,到货啦～实物比样图好看太多啦！白色的非常简约。
j***i,star5,拿到就试穿了 穿着挺舒服 也很好看
墨***思,star5,非常好看，版型很正，是正品，媳妇很喜欢尺码大小：正合适透气性能：很好舒适程度：舒服柔软程度：一般
分***蛋,star5,又一次购买，不错，很合适，下次再购
E***a,star5,价格实惠，质量杠杠的，非常好的一次购物，下次还来?
雪***鹰,star5,鞋子不错，据说穿着舒服，包裹性很好，轻便
a***4,star5,颜色很正，很好看，所见即所得，不错不错，尺码比正常脚小半码，所以稍微买大半码正好
o***3,star5,上脚效果还不错，已经穿了一段时间了。还可以。发货速度很快，前一天晚上买的，第二天九点就到了。总体还是很满意的。
j***x,star5,在商场试过了，因为年底商场号码不全了，着急穿就在京东上买了，还真快转天就收到了。品质包装都很好，京东确实保真所以买啥都放心
嘉***5,star5,好看，显的脚很秀气，特别喜欢，穿一天也不臭脚，很轻便
嗨***人,star5,鞋子很漂亮，尺码合适，老婆很喜欢。
j***r,star5,女儿穿了一个星期了，没有磨脚的现象，很舒服，很轻巧
u***z,star5,这个真的太?了，?包装很精美，宝贝做工比较精细，商家特别好?，有问题都及时处理?，确实是一次相当满意的网购，还会再来的?
j***u,star5,尺码和脚，很透气不闷脚，很舒服
d***6,star5,这双鞋真的很舒服，收到就穿上去逛街，我这难伺候的脚终于有双舒服合适的鞋了。
j***y,star5,穿起来非常舒服，款式好看，质量很好。颜色鲜艳
j***3,star5,宝贝收到后，打开包装看到一如往昔一样用心，迫不及待的马上试穿，36．5码正好，谢谢直播间胖帅的提醒，穿着轻松舒适又有型，哇，很满意很开心?！
4***5,star5,很少在网上买鞋，这次收到很惊喜，做工、材质、款式非常完美。次日即到，上脚轻盈、舒适，颜色是乳白
j***b,star1,磨脚，穿着脚疼，过两天不疼了发现出茧子了
j***M,star5,很好看很舒服很轻很喜欢
丁***大,star5,很漂亮很好很满意很满意
j***i,star5,非常好看啊，好穿舒服，比较值
j***r,star5,买来送人的，朋友很喜欢，说穿上舒服又好看，又配衣服，很不错
j***i,star5,嗯跟其他朋友说的一样 穿了很舒服
和***里,star5,还不错哦，配速很快，而且非常划算呀，穿着也舒服
j***a,star5,鞋子穿着舒服，质量很好，卖家发货很快，包装仔细，全五星好评
三***哈,star5,包装好，快递快哈哈哈哈哈哈哈哈非常好
j***T,star5,大小刚好，球服的很！！！！
小***e,star5,很好看啊 非常好穿 不错非常百搭 很好
j***a,star5,买给女朋友的，很不错，认准这家店，买这双之前在一家滔博的京东店买了紫色的，妥妥假货，帮大家踩雷了
j***9,star5,这款老爹鞋穿着很舒服，尺码大小正合适，物流也很快
b***1,star5,百搭的一款鞋，码数刚好，穿上舒服，非常喜欢
三***膘,star5,第一次买的鞋号不合适，退换货速度特别快，快递大哥也态度很好，总体非常满意！
Y***P,star5,鞋子很合脚，式样也不错。
1***8,star5,我给自己买的，由于脚小很少能买到这么正好的鞋子。谢谢店家了，我很开心
w***e,star5,很好看，在好多APP看了，比较相信京东，真的很好看，很便宜，冲冲冲
j***e,star5,先买一双米色的，穿着舒服，这双是回购，同样，很不错
达***杰,star5,送给老婆的礼物，她很喜欢。
j***f,star5,买给妹妹的生日礼物，她很喜欢，上脚很好看，很舒服
J***r,star5,鞋子好看很喜欢穿上很舒服
j***g,star5,?宝贝质量很好，收到货第一时间打开看了，很不错?，很满意?，客服也有问必答，感谢?
j***u,star5,鞋子很好看 很容易搭配
j***c,star5,鞋子大小合适，第一次买到有半号的，走路很轻松
t***g,star5,给女朋友买，很喜欢，很合适。服务超好。尺码买小了一点换货超快
j***P,star5,鞋型超好看，很轻很好走路，喜欢，很棒！
y***3,star5,非常好的服务，商品是正品。
j***7,star5,给长辈的生日礼物，她很满意！
敉***赫,star5,买了大半码的穿着正好，鞋很轻便，适合春夏
j***Y,star5,这款老爹鞋款式好看，穿起来非常轻盈舒适
萌***光,star5,差别以为丢件了，快递员都过来帮我一起找了，庆幸找到了，鞋子很合适，穿上脚特别舒适，码数也很合适，走路很轻便，不想之前买了经典款那么硬，喜欢?
j***A,star5,商品质量很好！服务态度很好！必须给五星好评！！下次还去这家购买！??????
y***8,star5,特别秀气，好看，穿上去特别舒服。
j***t,star5,舒适程度：发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购
j***m,star5,商家发货速度快，物流超快，鞋子上脚舒适透气好看
G***4,star5,穿了一段时间才来评价，漂亮，舒服。非常满意
j***3,star5,帮老婆买的很不错，穿着很漂亮，后面还补了差价很赞
4***5,star5,鞋子好看，上脚很板正，客服态度好，置换方便，速度还得是京东，够快。
j***e,star5,家人很喜欢，说很好看，很符合他们的审美，，很不错
c***1,star5,穿上很轻便，特别好看，很合脚
左***公,star5,很好，穿着很舒服，样式也好看
j***N,star5,品質很好 包裝完全沒有受損 很好看
j***r,star5,穿着很轻，很舒服舒适程度：舒服
j***3,star5,非常不错，穿上舒服，大小合适
j***r,star5,穿起来很舒服，很好看，很不错
t***g,star5,买给女朋友的，她很喜欢，夏天可穿漂亮又舒服
苗***5,star5,很舒适的鞋子 也轻巧 总之颜值在线
j***d,star5,非常舒适，上学穿，随时可以运动
-***-,star5,鞋子很不错 穿着轻便 官方服务好
j***7,star5,女朋友很喜欢，鞋垫软，款式好看
c***u,star5,穿着很舒服，颜色和款式都挺好
爽***猪,star5,很好 很轻便 百搭 很喜欢
啦***兔,star5,收到后迫不及待的打开，包装很好，也很好看，总之感觉比心中所想象的好的多，颜色朋友也很喜欢，非常推荐购买
j***y,star5,鞋子非常好，是正品，给老婆买的，很喜欢
j***v,star5,鞋子挺漂亮的，上脚也很舒服。
y***6,star5,京东换货快，上门换新，方便快捷，在京东购物很省心。
1***7,star5,京东购物一如既往的放心，鞋子很好看，
j***7,star5,很舒服，走了一万多步也不累
j***v,star5,穿着舒适，透气性好走路超舒服。
铁***8,star5,穿着很好，很舒服，非常喜欢
3***9,star5,挺好的，轻盈舒适，很舒服
素***七,star5,款式新颖时尚，颜色很漂亮
j***m,star5,鞋挺好看的 孩子很喜欢 比较满意
伊***尛,star5,很好，很舒适，强烈推荐
h***d,star5,质量非常不错，容穿着舒适。
j***9,star5,鞋子很好看，做活动比店里面便宜
t***g,star5,很好的鞋子，孩子穿上后很喜欢！
酸***趴,star5,非常好穿，舒适，白搭
u***u,star5,超级好看，穿上也特别舒服
z***1,star5,鞋子非常符合我的预期，好看又舒适
j***h,star5,孩子很喜欢穿，上脚效果非常棒
j***O,star5,鞋子还不错，非常好的鞋子
